"X","id","p_value","significant","significant_fdr"
7348,"AT5G67080",0.000119118259793257,TRUE,TRUE
2395,"AT2G25470",0.000122484914329633,TRUE,TRUE
825,"AT1G29660",0.000124860337244487,TRUE,TRUE
4542,"AT4G00900",0.000126596118261134,TRUE,TRUE
4637,"AT4G03460",0.000153551744440999,TRUE,TRUE
4808,"AT4G12970",0.000157444480566003,TRUE,TRUE
2134,"AT2G15490",0.000181513868142507,TRUE,TRUE
381,"AT1G13650",0.000194380064605547,TRUE,TRUE
4004,"AT3G46370",0.000219998313225371,TRUE,TRUE
6603,"AT5G41370",0.000241854427646941,TRUE,TRUE
7003,"AT5G55050",0.000250260812031658,TRUE,TRUE
5741,"AT5G03110",0.00026528887348011,TRUE,TRUE
3361,"AT3G10050",0.000287524845455889,TRUE,TRUE
5437,"AT4G33300",0.000293509647631219,TRUE,TRUE
5553,"AT4G36570",0.000293740491934767,TRUE,TRUE
3858,"AT3G26740",0.00030118908190159,TRUE,TRUE
5577,"AT4G37240",0.000311737761826807,TRUE,TRUE
2482,"AT2G28570",0.000324086113204611,TRUE,TRUE
3089,"AT2G47650",0.00032845467421275,TRUE,TRUE
2623,"AT2G33250",0.000330357625389702,TRUE,TRUE
6476,"AT5G35490",0.000345261530847149,TRUE,TRUE
6200,"AT5G19110",0.000352838297488232,TRUE,TRUE
1946,"AT1G80770",0.000365179991194406,TRUE,TRUE
6803,"AT5G47880",0.000378469062743065,TRUE,TRUE
4465,"AT3G62030",0.000388203713493221,TRUE,TRUE
3110,"AT3G01360",0.000393024956813823,TRUE,FALSE
745,"AT1G26380",0.000397823842708879,TRUE,FALSE
2971,"AT2G43590",0.000417218281257998,TRUE,FALSE
4766,"AT4G11400",0.000440321895108525,TRUE,FALSE
6312,"AT5G23330",0.000443420155170492,TRUE,FALSE
881,"AT1G30900",0.000443894614973193,TRUE,FALSE
5444,"AT4G33490",0.000444931691819754,TRUE,FALSE
1733,"AT1G74030",0.000455925366361159,TRUE,FALSE
6715,"AT5G44585",0.000479364281468754,TRUE,FALSE
5465,"AT4G34060",0.000492089017679343,TRUE,FALSE
4692,"AT4G07820",0.000492100774996279,TRUE,FALSE
4573,"AT4G01720",0.000514741511893488,TRUE,FALSE
4303,"AT3G56010",0.000533840699284781,TRUE,FALSE
1127,"AT1G51620",0.000533850146364148,TRUE,FALSE
2183,"AT2G17720",0.000545643989492245,TRUE,FALSE
2653,"AT2G34170",0.000588113309701303,TRUE,FALSE
1299,"AT1G58420",0.000619492443432523,TRUE,FALSE
5017,"AT4G19530",0.000623959044857931,TRUE,FALSE
1100,"AT1G50270",0.000666562781990797,TRUE,FALSE
6840,"AT5G49300",0.000666706715911416,TRUE,FALSE
2526,"AT2G30170",0.000700383364699977,TRUE,FALSE
795,"AT1G28330",0.000731990083192891,TRUE,FALSE
4927,"AT4G16563",0.000738904166184819,TRUE,FALSE
5095,"AT4G22470",0.000770935600236224,TRUE,FALSE
7242,"AT5G63830",0.000787990113555966,TRUE,FALSE
