"","id","p_value","significant","significant_fdr"
"1750","AT5G54100","0.000251572570166181","TRUE","TRUE"
"917","AT3G21230","0.000293783503363548","TRUE","TRUE"
"394","AT1G68620","0.000417408595103552","TRUE","TRUE"
"1409","AT4G38840","0.000443263934500217","TRUE","FALSE"
"959","AT3G28040","0.000526309525176319","TRUE","FALSE"
"1008","AT3G48570","0.000606663125115502","TRUE","FALSE"
"1253","AT4G20460","0.000636237821523102","TRUE","FALSE"
"41","AT1G07160","0.000645097402563349","TRUE","FALSE"
"89","AT1G14010","0.000686537612412617","TRUE","FALSE"
"1596","AT5G24570","0.000737547823369965","TRUE","FALSE"
"1711","AT5G47420","0.000774053007816593","TRUE","FALSE"
"1848","AT5G67080","0.000906234714669082","TRUE","FALSE"
"1200","AT4G14100","0.000907914187245834","TRUE","FALSE"
"1262","AT4G21400","0.000941467456029598","TRUE","FALSE"
"279","AT1G51800","0.00118439486978437","TRUE","FALSE"
"884","AT3G15850","0.00122488668832617","TRUE","FALSE"
"18","AT1G02930","0.00128223934868822","TRUE","FALSE"
"690","AT2G36690","0.001387885223734","TRUE","FALSE"
"1156","AT4G03460","0.00138791532360329","TRUE","FALSE"
"1208","AT4G15233","0.00162462233304813","TRUE","FALSE"
"1251","AT4G20280","0.00171675340160843","TRUE","FALSE"
"566","AT2G21230","0.00175763183503516","TRUE","FALSE"
"586","AT2G23320","0.00180164348217985","TRUE","FALSE"
"1464","AT5G07030","0.00185939110373897","TRUE","FALSE"
"721","AT2G40610","0.00192955134901558","TRUE","FALSE"
"1261","AT4G21390","0.00193066509813214","TRUE","FALSE"
"280","AT1G51820","0.00230137089551015","TRUE","FALSE"
"619","AT2G28605","0.0023880212388621","TRUE","FALSE"
"733","AT2G42360","0.00238817644879374","TRUE","FALSE"
"1444","AT5G03390","0.00250607691242892","TRUE","FALSE"
"1576","AT5G21920","0.00260530724802179","TRUE","FALSE"
"871","AT3G14280","0.00278555217081454","TRUE","FALSE"
"218","AT1G30720","0.00305742759052403","TRUE","FALSE"
"1228","AT4G18170","0.00315528042506428","TRUE","FALSE"
"1129","AT3G63190","0.0034528968544805","TRUE","FALSE"
"191","AT1G26420","0.00355439174737298","TRUE","FALSE"
"710","AT2G39420","0.00357455569207775","TRUE","FALSE"
