"","id","p_value","significant","significant_fdr"
"5139","AT4G23700","0.000100447750065145","TRUE","TRUE"
"6551","AT5G39580","0.000102102673276162","TRUE","TRUE"
"2928","AT2G42370","0.000103389270295318","TRUE","TRUE"
"1871","AT1G78450","0.000103905074133819","TRUE","TRUE"
"6532","AT5G38780","0.000104861171126611","TRUE","TRUE"
"3176","AT3G03180","0.000112350625820733","TRUE","TRUE"
"6312","AT5G23330","0.000113477676471992","TRUE","TRUE"
"4574","AT4G01750","0.000117993430808122","TRUE","TRUE"
"3917","AT3G29034","0.000120118218340556","TRUE","TRUE"
"3206","AT3G04450","0.000121831545554213","TRUE","TRUE"
"5353","AT4G30610","0.00012527708438629","TRUE","TRUE"
"4709","AT4G08770","0.000128703067213979","TRUE","TRUE"
"7074","AT5G57550","0.000128809918540042","TRUE","TRUE"
"1514","AT1G67265","0.00012964477783479","TRUE","TRUE"
"4554","AT4G01250","0.00013241172842948","TRUE","FALSE"
"6409","AT5G26920","0.000133371543971346","TRUE","FALSE"
"1307","AT1G59700","0.000134091977412381","TRUE","FALSE"
"6560","AT5G39940","0.000136172017242456","TRUE","FALSE"
"6308","AT5G23210","0.000138355263203683","TRUE","FALSE"
"4489","AT3G62750","0.000140349025686882","TRUE","FALSE"
"5062","AT4G21200","0.000141785355272402","TRUE","TRUE"
"889","AT1G31173","0.000143713119946411","TRUE","TRUE"
"2642","AT2G33735","0.000144200245200973","TRUE","TRUE"
"5116","AT4G23215","0.00014823695370974","TRUE","TRUE"
"2242","AT2G20110","0.000148418915855828","TRUE","TRUE"
"3804","AT3G25110","0.000153779406611274","TRUE","TRUE"
"2321","AT2G22650","0.000154822384509526","TRUE","TRUE"
"1750","AT1G74670","0.000156691757019907","TRUE","TRUE"
"4650","AT4G04510","0.000166251795754469","TRUE","TRUE"
"2808","AT2G39200","0.000171979519484454","TRUE","TRUE"
"7050","AT5G56610","0.000174344711792682","TRUE","TRUE"
"3065","AT2G46790","0.000174943445206907","TRUE","TRUE"
"4354","AT3G57480","0.000176984688741889","TRUE","TRUE"
"4016","AT3G46930","0.000177795851460113","TRUE","TRUE"
"233","AT1G08720","0.000179267129819702","TRUE","TRUE"
"5239","AT4G26890","0.000179927803607283","TRUE","TRUE"
"6244","AT5G20400","0.000181573279027403","TRUE","TRUE"
"28","AT1G01830","0.000184792700072592","TRUE","TRUE"
"5739","AT5G03050","0.000184978569671061","TRUE","TRUE"
"1540","AT1G68190","0.000186162234156652","TRUE","TRUE"
"3301","AT3G07540","0.000186565450155365","TRUE","TRUE"
"7054","AT5G56960","0.000187067296223866","TRUE","TRUE"
"661","AT1G22370","0.000187953058228742","TRUE","TRUE"
"3419","AT3G11880","0.00018915335796675","TRUE","TRUE"
"2325","AT2G22770","0.00019272905858696","TRUE","TRUE"
"378","AT1G13520","0.000192804977010704","TRUE","TRUE"
"1135","AT1G51800","0.000194146331073053","TRUE","TRUE"
"6988","AT5G54660","0.000200473709561733","TRUE","TRUE"
"1171","AT1G53100","0.000201962044721103","TRUE","TRUE"
"6339","AT5G24230","0.000202060299332537","TRUE","TRUE"
"5167","AT4G24415","0.000202076690968695","TRUE","TRUE"
"5265","AT4G27850","0.000204771331284204","TRUE","TRUE"
"2858","AT2G40610","0.000205166102218973","TRUE","TRUE"
"2017","AT2G03430","0.000210225553009674","TRUE","TRUE"
"607","AT1G20680","0.000211117263998834","TRUE","TRUE"
"905","AT1G31920","0.000226969208951831","TRUE","TRUE"
"585","AT1G19950","0.000242707586440387","TRUE","TRUE"
"2438","AT2G26930","0.000250584103635093","TRUE","TRUE"
"5465","AT4G34060","0.000251040111238655","TRUE","TRUE"
"1022","AT1G44510","0.000252115598813798","TRUE","TRUE"
"783","AT1G27950","0.00025434319438842","TRUE","TRUE"
"5123","AT4G23300","0.00025679434057856","TRUE","TRUE"
"4600","AT4G02420","0.000257291117462389","TRUE","TRUE"
"2263","AT2G20750","0.000257401085670177","TRUE","TRUE"
"2606","AT2G32660","0.000263866007444448","TRUE","TRUE"
"5582","AT4G37370","0.000268208393623177","TRUE","TRUE"
"4373","AT3G58070","0.000270200447676047","TRUE","TRUE"
"257","AT1G09350","0.000270406807936593","TRUE","TRUE"
"1057","AT1G48480","0.000270728567502072","TRUE","TRUE"
"3608","AT3G17668","0.000271695561684488","TRUE","TRUE"
"6295","AT5G22920","0.000272136326603792","TRUE","TRUE"
"5067","AT4G21400","0.000272717175094793","TRUE","TRUE"
"2595","AT2G32210","0.000277372048358072","TRUE","TRUE"
"3624","AT3G18250","0.000277856412555935","TRUE","TRUE"
"1916","AT1G79900","0.000278192859109119","TRUE","TRUE"
"4858","AT4G14455","0.0002798469012872","TRUE","TRUE"
"7297","AT5G65390","0.000287003041052938","TRUE","TRUE"
"7027","AT5G55740","0.000287091093965698","TRUE","TRUE"
"6750","AT5G45820","0.00028903517117876","TRUE","TRUE"
"886","AT1G31150","0.000296008392060841","TRUE","TRUE"
"1139","AT1G51890","0.000296205291649446","TRUE","TRUE"
"6395","AT5G26230","0.000298553993973509","TRUE","TRUE"
"6652","AT5G42910","0.000301361459658601","TRUE","TRUE"
"4186","AT3G52490","0.000311292510235926","TRUE","TRUE"
"1242","AT1G55370","0.000312338598563801","TRUE","TRUE"
"5584","AT4G37390","0.000313939501267381","TRUE","TRUE"
"1000","AT1G42310","0.000317307696824545","TRUE","TRUE"
"638","AT1G21600","0.000317571210123156","TRUE","TRUE"
"1094","AT1G49990","0.000317764924708108","TRUE","TRUE"
"4007","AT3G46550","0.000321919322692815","TRUE","TRUE"
"5937","AT5G10620","0.000332907189070689","TRUE","TRUE"
"1666","AT1G72030","0.000338348113178647","TRUE","TRUE"
"3768","AT3G23340","0.000342038407502824","TRUE","TRUE"
"6844","AT5G49520","0.000343088973667878","TRUE","TRUE"
"3728","AT3G22104","0.000343669436168086","TRUE","TRUE"
"6892","AT5G51150","0.000357224730560594","TRUE","TRUE"
"6502","AT5G37300","0.000359549304141116","TRUE","TRUE"
"3177","AT3G03190","0.000360906423918069","TRUE","TRUE"
"3978","AT3G45040","0.000362376415352414","TRUE","TRUE"
"4093","AT3G49320","0.000369974347747408","TRUE","TRUE"
"3904","AT3G28460","0.000375451590201884","TRUE","TRUE"
"1669","AT1G72120","0.000377048145177138","TRUE","TRUE"
"5780","AT5G04360","0.000378971208987038","TRUE","TRUE"
"3867","AT3G27030","0.000384023706403957","TRUE","TRUE"
"4864","AT4G14740","0.000392115501975595","TRUE","TRUE"
"7121","AT5G58940","0.000392925478217517","TRUE","TRUE"
"4741","AT4G10330","0.000408660793226457","TRUE","TRUE"
"3686","AT3G20100","0.000414019641106768","TRUE","TRUE"
"3845","AT3G26320","0.000414891210135556","TRUE","TRUE"
"5970","AT5G11490","0.000415630388005633","TRUE","TRUE"
"2488","AT2G28800","0.000424562963512295","TRUE","TRUE"
"6004","AT5G12900","0.000427240692613057","TRUE","TRUE"
"7078","AT5G57785","0.000432397241123243","TRUE","TRUE"
"6715","AT5G44585","0.00043537989673968","TRUE","TRUE"
"5212","AT4G25845","0.000437925012504745","TRUE","TRUE"
"1179","AT1G53230","0.000441350236205903","TRUE","TRUE"
"5589","AT4G37530","0.000443088748340355","TRUE","TRUE"
"5529","AT4G35620","0.000447921838916182","TRUE","TRUE"
"5595","AT4G37750","0.000464230007984677","TRUE","TRUE"
"1299","AT1G58420","0.000468776167049774","TRUE","TRUE"
"5497","AT4G34760","0.000472843266629105","TRUE","TRUE"
"6816","AT5G48530","0.000473709326553111","TRUE","TRUE"
"2402","AT2G25735","0.000475472275842191","TRUE","TRUE"
"6799","AT5G47740","0.000478843669433411","TRUE","TRUE"
"1500","AT1G66780","0.000485474607353007","TRUE","TRUE"
"6689","AT5G44010","0.000489516164653707","TRUE","TRUE"
"4655","AT4G04700","0.000489911158233675","TRUE","TRUE"
"6974","AT5G54270","0.000492316657079491","TRUE","TRUE"
"2496","AT2G29110","0.000499544505444012","TRUE","TRUE"
"3327","AT3G08800","0.000501161519527438","TRUE","TRUE"
"3332","AT3G09010","0.000503537460748222","TRUE","TRUE"
"5900","AT5G09240","0.000505272938214807","TRUE","TRUE"
"389","AT1G13950","0.000513137696381791","TRUE","TRUE"
"5616","AT4G38370","0.000514680865663886","TRUE","TRUE"
"4992","AT4G18740","0.000523512615142116","TRUE","TRUE"
"786","AT1G28110","0.000528401609716975","TRUE","TRUE"
"5765","AT5G03760","0.00053381997020321","TRUE","TRUE"
"4748","AT4G10890","0.000538177064440912","TRUE","TRUE"
"7103","AT5G58480","0.00053821743994783","TRUE","TRUE"
"7047","AT5G56380","0.000545221735130928","TRUE","TRUE"
"1236","AT1G55260","0.000550632141434838","TRUE","TRUE"
