"X","id","p_value","significant","significant_fdr"
7054,"AT5G56960",0.000100227445241689,TRUE,TRUE
1201,"AT1G53790",0.000101517687599488,TRUE,TRUE
4571,"AT4G01700",0.000103567337821912,TRUE,TRUE
6775,"AT5G46910",0.000104507754231046,TRUE,TRUE
2693,"AT2G35658",0.00010743676300456,TRUE,TRUE
6605,"AT5G41460",0.000107951677473411,TRUE,TRUE
7297,"AT5G65390",0.000107968909923384,TRUE,TRUE
4717,"AT4G09020",0.000108742665678558,TRUE,TRUE
3635,"AT3G18560",0.000112287987867037,TRUE,TRUE
4313,"AT3G56160",0.000113490806755055,TRUE,TRUE
5121,"AT4G23280",0.000116705614138057,TRUE,TRUE
4016,"AT3G46930",0.000121216713030015,TRUE,TRUE
2536,"AT2G30424",0.000123503325083992,TRUE,TRUE
1781,"AT1G75710",0.00012587096557277,TRUE,TRUE
874,"AT1G30730",0.000127099790042627,TRUE,TRUE
5302,"AT4G28780",0.00012933717055259,TRUE,TRUE
918,"AT1G32350",0.000131113138205343,TRUE,TRUE
1520,"AT1G67520",0.00013444970861784,TRUE,TRUE
6094,"AT5G15740",0.000137217494648641,TRUE,TRUE
292,"AT1G10510",0.000139912919018051,TRUE,TRUE
1195,"AT1G53625",0.000140712786190038,TRUE,TRUE
5952,"AT5G10946",0.000148425515901025,TRUE,TRUE
4594,"AT4G02280",0.000148453129630755,TRUE,TRUE
1430,"AT1G64400",0.000152617587774042,TRUE,TRUE
4808,"AT4G12970",0.00015327877253975,TRUE,TRUE
4650,"AT4G04510",0.000153511346871199,TRUE,TRUE
5677,"AT5G01015",0.000156740428347118,TRUE,TRUE
1514,"AT1G67265",0.000160585275242341,TRUE,TRUE
625,"AT1G21326",0.000162412724635624,TRUE,TRUE
3238,"AT3G05580",0.0001627265109877,TRUE,TRUE
378,"AT1G13520",0.000165146676733075,TRUE,TRUE
6660,"AT5G43105",0.000168332314997026,TRUE,TRUE
6452,"AT5G28850",0.000174102401111099,TRUE,TRUE
6799,"AT5G47740",0.000174574340779636,TRUE,TRUE
5414,"AT4G32570",0.000175469322278821,TRUE,TRUE
5075,"AT4G21680",0.000175643316008669,TRUE,TRUE
7074,"AT5G57550",0.000180038932032491,TRUE,TRUE
2395,"AT2G25470",0.000186978696517779,TRUE,TRUE
238,"AT1G08840",0.000186983495272623,TRUE,TRUE
6200,"AT5G19110",0.000192786739966647,TRUE,TRUE
4479,"AT3G62470",0.000199749283328122,TRUE,TRUE
6169,"AT5G18040",0.000199779101848034,TRUE,TRUE
4629,"AT4G03205",0.000201835095330133,TRUE,TRUE
1409,"AT1G63750",0.000202608445962412,TRUE,TRUE
1347,"AT1G61170",0.000206449492052511,TRUE,TRUE
4172,"AT3G52190",0.000213982320643188,TRUE,TRUE
2099,"AT2G13175",0.000218908431735228,TRUE,TRUE
3187,"AT3G03855",0.000219728558256802,TRUE,TRUE
523,"AT1G17860",0.000221523488776844,TRUE,TRUE
876,"AT1G30757",0.000221627472140234,TRUE,TRUE
453,"AT1G15550",0.000222219388374345,TRUE,TRUE
1601,"AT1G69930",0.000228146294311782,TRUE,TRUE
5116,"AT4G23215",0.000233254002118351,TRUE,TRUE
5946,"AT5G10800",0.000238972796396973,TRUE,TRUE
43,"AT1G02180",0.00023974816414961,TRUE,TRUE
3843,"AT3G26300",0.000239763216457912,TRUE,TRUE
4538,"AT4G00755",0.000239962624436064,TRUE,TRUE
3146,"AT3G02210",0.00024037239485158,TRUE,TRUE
5514,"AT4G35250",0.00024265063688665,TRUE,TRUE
1666,"AT1G72030",0.000248448911568303,TRUE,TRUE
150,"AT1G05940",0.000252938968321941,TRUE,TRUE
6323,"AT5G23740",0.000253427778891359,TRUE,TRUE
4554,"AT4G01250",0.000254472996029753,TRUE,TRUE
846,"AT1G29980",0.000257057409692897,TRUE,TRUE
4877,"AT4G15120",0.000257938580185364,TRUE,TRUE
3220,"AT3G04960",0.00026692614739784,TRUE,TRUE
7119,"AT5G58920",0.000267010625382606,TRUE,TRUE
2821,"AT2G39530",0.000267734481332634,TRUE,TRUE
2928,"AT2G42370",0.00027427889735081,TRUE,TRUE
5229,"AT4G26540",0.000277250884970506,TRUE,TRUE
4839,"AT4G14040",0.000284501277143043,TRUE,TRUE
969,"AT1G34260",0.000284735654328459,TRUE,TRUE
1850,"AT1G77710",0.000285665384710324,TRUE,TRUE
4387,"AT3G58800",0.000290838223824642,TRUE,TRUE
3392,"AT3G10930",0.000292574924775677,TRUE,TRUE
3145,"AT3G02200",0.000299495156901246,TRUE,TRUE
2769,"AT2G38210",0.000300804324836718,TRUE,TRUE
2263,"AT2G20750",0.000301034904277357,TRUE,TRUE
7365,"AT5G67440",0.000301367929737057,TRUE,TRUE
685,"AT1G22985",0.00030557096792551,TRUE,TRUE
1451,"AT1G65040",0.000324790530649402,TRUE,TRUE
3935,"AT3G31356",0.000330612287166024,TRUE,TRUE
