"X","id","p_value","significant","significant_fdr"
3185,"AT3G03770",0.000104838901689026,TRUE,TRUE
2993,"AT2G44370",0.000136028126761573,TRUE,TRUE
873,"AT1G30720",0.000163565775036731,TRUE,TRUE
6598,"AT5G41160",0.000172122824561788,TRUE,TRUE
6240,"AT5G20230",0.000176230093888391,TRUE,TRUE
2482,"AT2G28570",0.000207868359446067,TRUE,TRUE
1360,"AT1G61560",0.000228933563492972,TRUE,TRUE
2372,"AT2G24170",0.000231362952006805,TRUE,TRUE
3711,"AT3G21230",0.000279722030069082,TRUE,TRUE
96,"AT1G04070",0.000293879495954468,TRUE,TRUE
1243,"AT1G55450",0.000304238838974743,TRUE,TRUE
319,"AT1G11410",0.000307920373141876,TRUE,TRUE
6268,"AT5G21920",0.000316132705841247,TRUE,TRUE
4507,"AT3G63380",0.000352832589751319,TRUE,TRUE
5006,"AT4G19100",0.000359094889793093,TRUE,TRUE
4538,"AT4G00755",0.000377392891881259,TRUE,TRUE
2858,"AT2G40610",0.000383675301888862,TRUE,TRUE
6813,"AT5G48400",0.000387661273282705,TRUE,TRUE
5443,"AT4G33480",0.000389534688204597,TRUE,TRUE
4637,"AT4G03460",0.000417379734786609,TRUE,TRUE
6111,"AT5G16230",0.000419006595760107,TRUE,TRUE
2018,"AT2G03450",0.000433096045711258,TRUE,TRUE
3668,"AT3G19580",0.000444957747093196,TRUE,TRUE
1513,"AT1G67195",0.000446497984441604,TRUE,TRUE
4102,"AT3G49670",0.000453204306548031,TRUE,TRUE
1346,"AT1G61150",0.000453249449472753,TRUE,TRUE
3992,"AT3G45650",0.000492065346296032,TRUE,TRUE
1498,"AT1G66700",0.000492110654436407,TRUE,FALSE
3006,"AT2G44740",0.000499643298296987,TRUE,FALSE
3945,"AT3G42660",0.000502577585026209,TRUE,FALSE
4147,"AT3G51470",0.000521784340316839,TRUE,FALSE
6725,"AT5G44910",0.000526491403758464,TRUE,FALSE
7203,"AT5G62470",0.000558945780956527,TRUE,FALSE
2309,"AT2G22250",0.000697504519275159,TRUE,FALSE
120,"AT1G04870",0.000755332544909357,TRUE,FALSE
4922,"AT4G16444",0.000764039293395096,TRUE,FALSE
6754,"AT5G46050",0.000767511655348022,TRUE,FALSE
