"X","id","p_value","significant","significant_fdr"
492,"AT1G16750",0.000100073538064802,TRUE,TRUE
2652,"AT2G34140",0.000105039622183746,TRUE,TRUE
2219,"AT2G19110",0.000105113976631954,TRUE,TRUE
738,"AT1G25510",0.000112368404845302,TRUE,TRUE
6531,"AT5G38710",0.000112536556722338,TRUE,TRUE
4219,"AT3G53600",0.000113253976233713,TRUE,TRUE
379,"AT1G13550",0.000117546349753019,TRUE,TRUE
979,"AT1G35230",0.000117868173488785,TRUE,TRUE
1137,"AT1G51850",0.000121635713623486,TRUE,TRUE
1897,"AT1G79460",0.000121829741634603,TRUE,TRUE
6324,"AT5G23750",0.000128831517199792,TRUE,TRUE
5915,"AT5G09800",0.000141468914526138,TRUE,TRUE
2329,"AT2G22850",0.000143651052684465,TRUE,TRUE
6851,"AT5G49730",0.000145653161389777,TRUE,TRUE
2606,"AT2G32660",0.000146498975408987,TRUE,TRUE
4939,"AT4G16880",0.000149275897852497,TRUE,TRUE
1860,"AT1G78060",0.000151562663352705,TRUE,TRUE
5548,"AT4G36430",0.000151583513269345,TRUE,TRUE
695,"AT1G23230",0.000151695281614835,TRUE,TRUE
725,"AT1G25220",0.000153709746791424,TRUE,TRUE
264,"AT1G09660",0.000167638748905654,TRUE,TRUE
4745,"AT4G10600",0.000168512018849473,TRUE,TRUE
4649,"AT4G04490",0.000174043107713417,TRUE,TRUE
7223,"AT5G63060",0.000177150542003004,TRUE,TRUE
745,"AT1G26380",0.00018872509376211,TRUE,TRUE
4738,"AT4G10130",0.000194930370025905,TRUE,TRUE
1587,"AT1G69520",0.000195074298355763,TRUE,TRUE
2485,"AT2G28605",0.000201526473003621,TRUE,TRUE
6315,"AT5G23510",0.000203152880021255,TRUE,TRUE
4985,"AT4G18430",0.000204404600979154,TRUE,TRUE
5584,"AT4G37390",0.000207033941378316,TRUE,TRUE
621,"AT1G21120",0.000212791337316086,TRUE,TRUE
5529,"AT4G35620",0.000218072209792593,TRUE,TRUE
31,"AT1G01920",0.000223018662369387,TRUE,TRUE
1967,"AT2G01460",0.000226442582025553,TRUE,TRUE
5803,"AT5G05190",0.000228665458500145,TRUE,TRUE
2395,"AT2G25470",0.000230089277699112,TRUE,TRUE
4012,"AT3G46690",0.000230093039435298,TRUE,TRUE
876,"AT1G30757",0.000230272486458037,TRUE,TRUE
5353,"AT4G30610",0.000230877941682314,TRUE,TRUE
1908,"AT1G79700",0.000234479884866116,TRUE,TRUE
7139,"AT5G59670",0.000236150869278876,TRUE,TRUE
2013,"AT2G03260",0.000236167861488633,TRUE,TRUE
4680,"AT4G06487",0.000239213755271688,TRUE,TRUE
4041,"AT3G47675",0.000241569735428355,TRUE,TRUE
4709,"AT4G08770",0.000244945737737746,TRUE,TRUE
711,"AT1G24070",0.000254305119286164,TRUE,TRUE
1781,"AT1G75710",0.00025635497223693,TRUE,TRUE
1171,"AT1G53100",0.000257792396342352,TRUE,TRUE
2928,"AT2G42370",0.000265607660495129,TRUE,TRUE
2702,"AT2G35850",0.000269348147204458,TRUE,TRUE
4289,"AT3G55610",0.000273563537986722,TRUE,TRUE
359,"AT1G12940",0.000274048244427532,TRUE,TRUE
122,"AT1G04910",0.000275019959469594,TRUE,TRUE
3048,"AT2G46220",0.000275866637604008,TRUE,TRUE
6339,"AT5G24230",0.000277930231368235,TRUE,TRUE
137,"AT1G05470",0.000285445435195557,TRUE,TRUE
3545,"AT3G15570",0.000285967250746372,TRUE,TRUE
5050,"AT4G20860",0.000289434279646,TRUE,TRUE
3936,"AT3G31440",0.000301649094000564,TRUE,TRUE
1763,"AT1G75190",0.000302308612596986,TRUE,TRUE
3299,"AT3G07470",0.000313728081641184,TRUE,TRUE
5061,"AT4G21190",0.000318825468914139,TRUE,TRUE
5452,"AT4G33670",0.000321823703144117,TRUE,TRUE
6074,"AT5G15110",0.000327472992402157,TRUE,TRUE
732,"AT1G25370",0.000329832263079562,TRUE,TRUE
5948,"AT5G10820",0.000330715817413209,TRUE,TRUE
4183,"AT3G52450",0.000332074208793625,TRUE,TRUE
4655,"AT4G04700",0.000333290490297423,TRUE,TRUE
1760,"AT1G75100",0.000340522963253357,TRUE,TRUE
4906,"AT4G15920",0.000340645774103461,TRUE,TRUE
6715,"AT5G44585",0.00034526609700029,TRUE,TRUE
2106,"AT2G13800",0.00034551291777445,TRUE,TRUE
2264,"AT2G20760",0.000346470367576589,TRUE,TRUE
775,"AT1G27500",0.000347377391581865,TRUE,TRUE
4027,"AT3G47420",0.000349710289510895,TRUE,TRUE
192,"AT1G07440",0.000362543172373511,TRUE,TRUE
5567,"AT4G36945",0.000364368946632686,TRUE,TRUE
3409,"AT3G11620",0.000369296060353048,TRUE,TRUE
4004,"AT3G46370",0.000386983634673035,TRUE,TRUE
3900,"AT3G28160",0.000387214898105145,TRUE,TRUE
6519,"AT5G38240",0.000388286468852771,TRUE,TRUE
483,"AT1G16370",0.000388349942366869,TRUE,TRUE
5479,"AT4G34290",0.000408323922111118,TRUE,TRUE
6019,"AT5G13330",0.000413864898982727,TRUE,TRUE
6900,"AT5G51640",0.000416897428987846,TRUE,TRUE
6174,"AT5G18150",0.000422292615445358,TRUE,TRUE
2495,"AT2G29100",0.000422295058409577,TRUE,TRUE
4479,"AT3G62470",0.000434633263278711,TRUE,TRUE
2985,"AT2G44080",0.000436515185698178,TRUE,TRUE
530,"AT1G18200",0.000437046094920838,TRUE,TRUE
5842,"AT5G06790",0.000454979727821299,TRUE,TRUE
3265,"AT3G06490",0.000455638779883697,TRUE,TRUE
6770,"AT5G46690",0.000465599177826892,TRUE,TRUE
2263,"AT2G20750",0.000468195685623268,TRUE,TRUE
3929,"AT3G29575",0.00047051046799739,TRUE,TRUE
2099,"AT2G13175",0.000476415609775989,TRUE,TRUE
2467,"AT2G28070",0.000480997541145381,TRUE,TRUE
2813,"AT2G39380",0.000482077776809704,TRUE,TRUE
4560,"AT4G01420",0.000492147751423928,TRUE,TRUE
625,"AT1G21326",0.000496959403481252,TRUE,TRUE
6456,"AT5G31702",0.000503667125720439,TRUE,TRUE
825,"AT1G29660",0.000510483187779217,TRUE,TRUE
6691,"AT5G44040",0.000514946717567913,TRUE,TRUE
3424,"AT3G12040",0.000545595614682922,TRUE,TRUE
2810,"AT2G39220",0.000545659882880501,TRUE,TRUE
293,"AT1G10560",0.000545723976855603,TRUE,TRUE
6453,"AT5G28910",0.000551294907013655,TRUE,TRUE
2847,"AT2G40113",0.000552285371226898,TRUE,TRUE
5465,"AT4G34060",0.000553121848999711,TRUE,TRUE
5727,"AT5G02502",0.000559683057483386,TRUE,TRUE
426,"AT1G14870",0.000562069615289529,TRUE,TRUE
2641,"AT2G33710",0.000575611499552596,TRUE,TRUE
126,"AT1G05010",0.000582954197343657,TRUE,TRUE
1230,"AT1G54820",0.000584393502350949,TRUE,TRUE
957,"AT1G33610",0.000588130789648128,TRUE,TRUE
165,"AT1G06520",0.000595138491511963,TRUE,TRUE
2972,"AT2G43620",0.000599420644090067,TRUE,TRUE
5594,"AT4G37730",0.000621461739015706,TRUE,TRUE
2638,"AT2G33585",0.000628107645182522,TRUE,TRUE
905,"AT1G31920",0.00063017710191599,TRUE,TRUE
1256,"AT1G55930",0.000631230591131999,TRUE,TRUE
4959,"AT4G17615",0.000664817306636036,TRUE,TRUE
982,"AT1G35516",0.000671657534973673,TRUE,TRUE
1068,"AT1G49000",0.000678449321127742,TRUE,TRUE
