"","id","p_value","significant","significant_fdr"
"5345","AT4G30400","0.000101604663600469","TRUE","TRUE"
"745","AT1G26380","0.000105004714342542","TRUE","TRUE"
"4240","AT3G54150","0.000105113168682652","TRUE","TRUE"
"5597","AT4G37780","0.000109472301753636","TRUE","TRUE"
"65","AT1G02950","0.000112355550116296","TRUE","TRUE"
"1356","AT1G61370","0.000113404616940076","TRUE","TRUE"
"1358","AT1G61420","0.000115961966591008","TRUE","TRUE"
"3288","AT3G07200","0.000117777351212704","TRUE","TRUE"
"3265","AT3G06490","0.000121849088513289","TRUE","TRUE"
"2117","AT2G14660","0.000122299190098135","TRUE","TRUE"
"5915","AT5G09800","0.000124847876467661","TRUE","TRUE"
"548","AT1G18860","0.000129572470481505","TRUE","TRUE"
"7159","AT5G60650","0.000139822885472018","TRUE","TRUE"
"3945","AT3G42660","0.000142654406561507","TRUE","TRUE"
"2951","AT2G43070","0.000147354670882023","TRUE","FALSE"
"4560","AT4G01420","0.000151647572180495","TRUE","FALSE"
"5793","AT5G04860","0.000156685701942344","TRUE","FALSE"
"2628","AT2G33360","0.000156756764182933","TRUE","FALSE"
"4407","AT3G59690","0.00016035286780651","TRUE","FALSE"
"1137","AT1G51850","0.000162345209922029","TRUE","FALSE"
"1015","AT1G43675","0.000169499745635601","TRUE","FALSE"
"716","AT1G24150","0.000177729051342604","TRUE","FALSE"
"2991","AT2G44340","0.000182511069319797","TRUE","FALSE"
"3146","AT3G02210","0.000191873880421842","TRUE","FALSE"
"4780","AT4G12000","0.000197713790395249","TRUE","FALSE"
"3599","AT3G17170","0.00020111091695572","TRUE","FALSE"
"881","AT1G30900","0.000213193753946282","TRUE","FALSE"
"4808","AT4G12970","0.000217009341174054","TRUE","FALSE"
"4732","AT4G09890","0.000223276263775193","TRUE","FALSE"
"6316","AT5G23530","0.000226848968380168","TRUE","FALSE"
"746","AT1G26420","0.000230071029421606","TRUE","FALSE"
"2548","AT2G30766","0.000230289069149405","TRUE","FALSE"
"413","AT1G14540","0.000233925410015778","TRUE","FALSE"
"3900","AT3G28160","0.000235358098043415","TRUE","FALSE"
"506","AT1G17350","0.000235826565046506","TRUE","TRUE"
"1292","AT1G58190","0.000240279853663703","TRUE","TRUE"
"6233","AT5G20050","0.000242607258494953","TRUE","TRUE"
"348","AT1G12550","0.000243330118941137","TRUE","TRUE"
"5624","AT4G38560","0.000244901636895988","TRUE","TRUE"
"453","AT1G15550","0.000245584085034322","TRUE","TRUE"
"4160","AT3G51960","0.000248109447298389","TRUE","TRUE"
"4186","AT3G52490","0.000259216330593304","TRUE","TRUE"
"4685","AT4G06735","0.000260328069240552","TRUE","TRUE"
"3272","AT3G06770","0.000274257155309853","TRUE","TRUE"
"954","AT1G33400","0.000277998934081342","TRUE","TRUE"
"6985","AT5G54590","0.000279745318456377","TRUE","TRUE"
"6116","AT5G16310","0.000281060353003769","TRUE","TRUE"
"6349","AT5G24580","0.000282938617105154","TRUE","TRUE"
"3951","AT3G43359","0.000283607024629408","TRUE","TRUE"
"7111","AT5G58660","0.000292803550798562","TRUE","TRUE"
"479","AT1G16310","0.000293782152899249","TRUE","TRUE"
"412","AT1G14520","0.000302160345259813","TRUE","TRUE"
"5664","AT4G39880","0.000306942748488472","TRUE","TRUE"
"5089","AT4G22070","0.000307255338088507","TRUE","TRUE"
"5853","AT5G07180","0.000311661713979745","TRUE","TRUE"
"7316","AT5G65920","0.000312026326939738","TRUE","TRUE"
"1461","AT1G65390","0.000312287042195817","TRUE","TRUE"
"2231","AT2G19570","0.00031780802165789","TRUE","TRUE"
"4708","AT4G08700","0.000319817740624765","TRUE","TRUE"
"4818","AT4G13410","0.000328281240537093","TRUE","TRUE"
"1139","AT1G51890","0.000339376511440808","TRUE","TRUE"
"7144","AT5G59820","0.000339718556621824","TRUE","TRUE"
"2482","AT2G28570","0.000344461241932214","TRUE","TRUE"
"825","AT1G29660","0.000345602402836122","TRUE","TRUE"
"1068","AT1G49000","0.000351671320558326","TRUE","TRUE"
"1784","AT1G75770","0.000356426898337808","TRUE","TRUE"
"1022","AT1G44510","0.000356534879288587","TRUE","TRUE"
"1140","AT1G51920","0.000359103010448993","TRUE","TRUE"
"5375","AT4G31310","0.000368673191116855","TRUE","TRUE"
"2114","AT2G14520","0.000377721139795963","TRUE","TRUE"
"7056","AT5G57010","0.000378401869885551","TRUE","TRUE"
"7286","AT5G65130","0.000381485805739328","TRUE","TRUE"
"1666","AT1G72030","0.000397006784141839","TRUE","TRUE"
"4377","AT3G58430","0.000397322055569757","TRUE","TRUE"
"3529","AT3G15115","0.000397940038838756","TRUE","TRUE"
"3047","AT2G46140","0.000404887290394307","TRUE","TRUE"
"7023","AT5G55620","0.000405908398496012","TRUE","TRUE"
"6704","AT5G44390","0.000408323445145864","TRUE","TRUE"
"2093","AT2G10940","0.000409631893291111","TRUE","TRUE"
"2495","AT2G29100","0.00041720998030203","TRUE","TRUE"
"378","AT1G13520","0.00042210576834123","TRUE","TRUE"
"5754","AT5G03390","0.000442251902962243","TRUE","TRUE"
"2414","AT2G26330","0.000446419660827721","TRUE","TRUE"
"7190","AT5G61920","0.000447728789019138","TRUE","TRUE"
"2624","AT2G33255","0.000449001665155284","TRUE","TRUE"
"2395","AT2G25470","0.000453509050955585","TRUE","TRUE"
"7183","AT5G61720","0.000461898396565308","TRUE","TRUE"
"183","AT1G07160","0.000462596198058204","TRUE","TRUE"
"1530","AT1G67850","0.000466013183430778","TRUE","TRUE"
"131","AT1G05300","0.000467205592892724","TRUE","TRUE"
"3124","AT3G01690","0.000474095345347802","TRUE","TRUE"
"3681","AT3G20000","0.000475302716022573","TRUE","TRUE"
"64","AT1G02930","0.000479920664729094","TRUE","TRUE"
"4224","AT3G53720","0.000484281754933628","TRUE","TRUE"
"5466","AT4G34090","0.000490396145830389","TRUE","TRUE"
"3761","AT3G23050","0.000493740808247318","TRUE","TRUE"
"3643","AT3G18800","0.000502200730566509","TRUE","TRUE"
"392","AT1G14030","0.00051920762506411","TRUE","TRUE"
"6641","AT5G42690","0.000532429984379766","TRUE","TRUE"
"6410","AT5G26940","0.000545568108828195","TRUE","TRUE"
"6265","AT5G21100","0.000552298867210086","TRUE","TRUE"
"6979","AT5G54500","0.000555878636225887","TRUE","TRUE"
"4079","AT3G48780","0.0005628483851728","TRUE","TRUE"
"2858","AT2G40610","0.000574347624557366","TRUE","TRUE"
"3424","AT3G12040","0.000576358836112597","TRUE","TRUE"
"2423","AT2G26580","0.000583862003575673","TRUE","TRUE"
"4650","AT4G04510","0.000591236675212966","TRUE","TRUE"
"6061","AT5G14660","0.000595047227608095","TRUE","TRUE"
"4504","AT3G63250","0.000607400731455572","TRUE","TRUE"
"933","AT1G32900","0.000619452474765257","TRUE","TRUE"
"6453","AT5G28910","0.000621506101651788","TRUE","TRUE"
"2337","AT2G23010","0.000628213701854003","TRUE","TRUE"
"872","AT1G30700","0.000646335386443037","TRUE","TRUE"
"7119","AT5G58920","0.000669767755070161","TRUE","TRUE"
"1354","AT1G61310","0.000671341361614461","TRUE","TRUE"
"3608","AT3G17668","0.00068593239851076","TRUE","TRUE"
"3886","AT3G27690","0.000709960498801809","TRUE","TRUE"
"7230","AT5G63490","0.000718140908769778","TRUE","TRUE"
"2606","AT2G32660","0.000720040243408723","TRUE","TRUE"
"4229","AT3G53900","0.000725389328208248","TRUE","TRUE"
"533","AT1G18265","0.00073181239687384","TRUE","TRUE"
"4419","AT3G60310","0.000740388053530246","TRUE","TRUE"
"2099","AT2G13175","0.000758366252470724","TRUE","TRUE"
"2562","AT2G31090","0.000769317367726626","TRUE","TRUE"
"7015","AT5G55230","0.000787375314816929","TRUE","TRUE"
"5347","AT4G30450","0.000789998090718259","TRUE","TRUE"
"1360","AT1G61560","0.000791100574659796","TRUE","TRUE"
"7274","AT5G64660","0.000795553720385608","TRUE","TRUE"
"2386","AT2G24730","0.000803258697404084","TRUE","TRUE"
"4939","AT4G16880","0.000813911560415268","TRUE","TRUE"
"2224","AT2G19190","0.000823845574449668","TRUE","TRUE"
"2110","AT2G14115","0.000828111445728652","TRUE","TRUE"
"1303","AT1G59590","0.000828282644565229","TRUE","TRUE"
"4692","AT4G07820","0.000833797499177188","TRUE","TRUE"
"1465","AT1G65500","0.0008510765866678","TRUE","TRUE"
"965","AT1G34010","0.000857154266805928","TRUE","TRUE"
"3726","AT3G21890","0.000863943975634156","TRUE","TRUE"
"6840","AT5G49300","0.00086840607470696","TRUE","TRUE"
"6590","AT5G40930","0.000909549897924292","TRUE","TRUE"
"3924","AT3G29290","0.000951540492264452","TRUE","FALSE"
"125","AT1G05000","0.000980731375007762","TRUE","FALSE"
"6745","AT5G45680","0.000994118678773873","TRUE","FALSE"
"1017","AT1G43910","0.00100415498301034","TRUE","FALSE"
"396","AT1G14150","0.00101867134631679","TRUE","FALSE"
"5724","AT5G02460","0.00103141543766413","TRUE","FALSE"
"2851","AT2G40180","0.00103164554402581","TRUE","FALSE"
"1689","AT1G72690","0.00103965937803639","TRUE","FALSE"
