"","id","p_value","significant","significant_fdr"
"1847","AT5G66790","0.00011041436462502","TRUE","TRUE"
"930","AT3G22790","0.000112351008106253","TRUE","TRUE"
"1378","AT4G35100","0.000159841071490302","TRUE","TRUE"
"281","AT1G51850","0.000167898062115529","TRUE","FALSE"
"568","AT2G21330","0.000168419397754902","TRUE","FALSE"
"1830","AT5G64120","0.000198569519128938","TRUE","FALSE"
"1532","AT5G14910","0.000239132427601961","TRUE","FALSE"
"345","AT1G62520","0.000279277441362577","TRUE","FALSE"
"1181","AT4G11170","0.000279291075823288","TRUE","FALSE"
"97","AT1G14520","0.000305782474164284","TRUE","FALSE"
"620","AT2G29110","0.000319738247417653","TRUE","FALSE"
"1092","AT3G57040","0.000323415440611744","TRUE","TRUE"
"1509","AT5G13080","0.000358537574695207","TRUE","FALSE"
"217","AT1G30700","0.000368837163054523","TRUE","TRUE"
"1019","AT3G49930","0.000381483768274761","TRUE","TRUE"
"159","AT1G21120","0.000388363667266446","TRUE","TRUE"
"1441","AT5G03110","0.000397857585145558","TRUE","TRUE"
"639","AT2G30750","0.000405893506226092","TRUE","TRUE"
"899","AT3G18250","0.000417327353845783","TRUE","TRUE"
"1463","AT5G06790","0.000476453581284578","TRUE","TRUE"
"315","AT1G56720","0.000499658844181135","TRUE","TRUE"
"119","AT1G16090","0.000520353725500277","TRUE","TRUE"
"690","AT2G36690","0.000526389059980883","TRUE","TRUE"
"741","AT2G43590","0.000554191836727502","TRUE","TRUE"
"156","AT1G21000","0.000565412745517316","TRUE","TRUE"
"1276","AT4G23215","0.000628826001042729","TRUE","TRUE"
"1469","AT5G08000","0.000647087090693679","TRUE","TRUE"
"584","AT2G23180","0.000703874724207604","TRUE","TRUE"
"1139","AT4G01310","0.000725154911661413","TRUE","TRUE"
"583","AT2G23010","0.000812572426216129","TRUE","FALSE"
"221","AT1G30757","0.000840633546732006","TRUE","FALSE"
"12","AT1G02360","0.000875935063094154","TRUE","FALSE"
"1640","AT5G38240","0.000894767221485347","TRUE","FALSE"
"904","AT3G19010","0.000904835540065248","TRUE","TRUE"
"279","AT1G51800","0.000929885346446121","TRUE","TRUE"
"120","AT1G16130","0.000941492389578541","TRUE","TRUE"
"971","AT3G43250","0.000978686467131274","TRUE","TRUE"
"102","AT1G14790","0.00103133802717972","TRUE","FALSE"
"1848","AT5G67080","0.00106114929854195","TRUE","FALSE"
"1835","AT5G64660","0.00106846230374356","TRUE","TRUE"
"1641","AT5G38250","0.00112442029719949","TRUE","FALSE"
"1789","AT5G58480","0.00114255840715741","TRUE","FALSE"
"1203","AT4G14550","0.00117830854494083","TRUE","FALSE"
"353","AT1G64170","0.00122082214929391","TRUE","FALSE"
"1735","AT5G51590","0.00126060219807532","TRUE","FALSE"
"321","AT1G59610","0.00134401484052343","TRUE","FALSE"
"1280","AT4G23300","0.00138821579002487","TRUE","FALSE"
"508","AT2G01590","0.00144380401206563","TRUE","FALSE"
"1451","AT5G04810","0.00144517607771115","TRUE","FALSE"
"350","AT1G63720","0.00152195144474073","TRUE","FALSE"
