"X","id","p_value","significant","significant_fdr"
7194,"AT5G62140",0.000118516740917632,TRUE,TRUE
948,"AT1G33240",0.000118683242002928,TRUE,TRUE
6813,"AT5G48400",0.000119101603057729,TRUE,TRUE
1421,"AT1G64170",0.000147599897712487,TRUE,TRUE
47,"AT1G02300",0.000148935727683786,TRUE,TRUE
2242,"AT2G20110",0.000159536782423402,TRUE,TRUE
6708,"AT5G44420",0.000169647345325774,TRUE,TRUE
5116,"AT4G23215",0.000171282457499843,TRUE,TRUE
7103,"AT5G58480",0.000172588826884129,TRUE,TRUE
1464,"AT1G65486",0.000180069467310658,TRUE,TRUE
2043,"AT2G04515",0.000204045755447731,TRUE,TRUE
1384,"AT1G62660",0.000211458270996703,TRUE,TRUE
874,"AT1G30730",0.000213418356477318,TRUE,TRUE
3870,"AT3G27160",0.000217927954605295,TRUE,TRUE
2606,"AT2G32660",0.000218530932002465,TRUE,TRUE
4754,"AT4G11170",0.000220050385862076,TRUE,TRUE
5634,"AT4G38840",0.000228891668559979,TRUE,TRUE
6174,"AT5G18150",0.000231549133206757,TRUE,TRUE
1714,"AT1G73603",0.000231896527649725,TRUE,TRUE
6270,"AT5G22060",0.000244934309238927,TRUE,TRUE
7106,"AT5G58530",0.00025006286219892,TRUE,TRUE
682,"AT1G22880",0.000254465804819513,TRUE,TRUE
3712,"AT3G21240",0.000263908706439249,TRUE,TRUE
7242,"AT5G63830",0.000270234595749545,TRUE,TRUE
5664,"AT4G39880",0.000271586062510751,TRUE,TRUE
1564,"AT1G68840",0.000281275519434655,TRUE,TRUE
6715,"AT5G44585",0.000281713912187718,TRUE,TRUE
2971,"AT2G43590",0.000291957319072323,TRUE,TRUE
5067,"AT4G21400",0.000300557494068319,TRUE,TRUE
2530,"AT2G30360",0.000301415901342913,TRUE,TRUE
1236,"AT1G55260",0.000307236588070142,TRUE,TRUE
4985,"AT4G18430",0.000307856764905478,TRUE,TRUE
4897,"AT4G15670",0.000312280940816182,TRUE,TRUE
5012,"AT4G19370",0.000323442271225964,TRUE,TRUE
535,"AT1G18290",0.00032603516552764,TRUE,TRUE
1711,"AT1G73470",0.000327586780810293,TRUE,TRUE
983,"AT1G35560",0.000342307731486728,TRUE,TRUE
5123,"AT4G23300",0.000349630040349606,TRUE,TRUE
6838,"AT5G49120",0.000355219349184036,TRUE,TRUE
4088,"AT3G49170",0.000356426315200333,TRUE,TRUE
6005,"AT5G12930",0.000381753715650028,TRUE,TRUE
6118,"AT5G16400",0.000388555911245188,TRUE,TRUE
6578,"AT5G40640",0.000391752224079386,TRUE,TRUE
405,"AT1G14345",0.000394755508396529,TRUE,TRUE
1358,"AT1G61420",0.000400079832054713,TRUE,TRUE
3659,"AT3G19360",0.000403686874418367,TRUE,TRUE
5370,"AT4G31060",0.000414238459536761,TRUE,TRUE
5526,"AT4G35550",0.000428362557015788,TRUE,TRUE
6750,"AT5G45820",0.000430096092211766,TRUE,TRUE
5915,"AT5G09800",0.000430926524353259,TRUE,TRUE
3035,"AT2G45720",0.00045326060585928,TRUE,TRUE
2089,"AT2G08986",0.0004770611973854,TRUE,TRUE
2760,"AT2G38000",0.000506335648392972,TRUE,TRUE
7169,"AT5G61140",0.000518269760183369,TRUE,TRUE
2653,"AT2G34170",0.00052043338737897,TRUE,TRUE
7111,"AT5G58660",0.000522160989926736,TRUE,TRUE
3483,"AT3G13790",0.000524003219614976,TRUE,TRUE
6553,"AT5G39610",0.000539014164405875,TRUE,TRUE
4554,"AT4G01250",0.000539340611566497,TRUE,TRUE
5417,"AT4G32640",0.00054612281629092,TRUE,TRUE
4550,"AT4G01090",0.000569893859766822,TRUE,TRUE
2813,"AT2G39380",0.000574438977567953,TRUE,TRUE
1356,"AT1G61370",0.000579637660437439,TRUE,TRUE
5548,"AT4G36430",0.000598264356770024,TRUE,TRUE
702,"AT1G23560",0.000602070826439453,TRUE,TRUE
6570,"AT5G40460",0.000603020249034651,TRUE,TRUE
2416,"AT2G26440",0.000603067469631194,TRUE,TRUE
3070,"AT2G46910",0.000608119785894316,TRUE,TRUE
1212,"AT1G54170",0.000609895706256312,TRUE,TRUE
621,"AT1G21120",0.000628318475103345,TRUE,TRUE
2150,"AT2G16530",0.000654213793391561,TRUE,TRUE
6400,"AT5G26680",0.000661550353231698,TRUE,TRUE
5046,"AT4G20780",0.000667598530306513,TRUE,TRUE
4479,"AT3G62470",0.000669457812148455,TRUE,TRUE
902,"AT1G31820",0.000669621310967456,TRUE,TRUE
2333,"AT2G22970",0.000700336823037595,TRUE,TRUE
4222,"AT3G53650",0.000725245189374153,TRUE,TRUE
873,"AT1G30720",0.000732023628345693,TRUE,TRUE
5357,"AT4G30690",0.000779203968353219,TRUE,TRUE
5345,"AT4G30400",0.000785763296459796,TRUE,TRUE
2689,"AT2G35500",0.000801963849726205,TRUE,TRUE
3800,"AT3G24810",0.000808186867635546,TRUE,TRUE
1556,"AT1G68620",0.000849887950805865,TRUE,TRUE
1492,"AT1G66460",0.000854031178705364,TRUE,TRUE
5109,"AT4G23020",0.000876432542604669,TRUE,TRUE
5952,"AT5G10946",0.000894742599629736,TRUE,TRUE
1293,"AT1G58200",0.000896709566371024,TRUE,TRUE
2099,"AT2G13175",0.000907786208087327,TRUE,TRUE
3797,"AT3G24615",0.00091495943782051,TRUE,TRUE
6598,"AT5G41160",0.000923295930212142,TRUE,TRUE
3939,"AT3G32990",0.00095090248279161,TRUE,TRUE
381,"AT1G13650",0.000981948254525204,TRUE,TRUE
3922,"AT3G29200",0.000998356616234831,TRUE,TRUE
5139,"AT4G23700",0.00100838682564842,TRUE,TRUE
1,"AT1G01070",0.00101236638761085,TRUE,TRUE
3992,"AT3G45650",0.0010195296057793,TRUE,TRUE
2905,"AT2G41720",0.00102023162916035,TRUE,TRUE
7046,"AT5G56350",0.00103846623598796,TRUE,TRUE
