"","id","p_value","significant","significant_fdr"
"1509","AT5G13080","0.000100190625873576","TRUE","TRUE"
"1253","AT4G20460","0.000111833361737132","TRUE","TRUE"
"302","AT1G53920","0.000126260415230981","TRUE","TRUE"
"1039","AT3G51450","0.000203404457053127","TRUE","FALSE"
"823","AT3G09010","0.000231383403908532","TRUE","FALSE"
"366","AT1G65486","0.000268728284625336","TRUE","FALSE"
"394","AT1G68620","0.00029062591176181","TRUE","FALSE"
"490","AT1G79460","0.000302091158991239","TRUE","FALSE"
"529","AT2G14520","0.00031692560668126","TRUE","FALSE"
"498","AT1G80450","0.000330483203017074","TRUE","FALSE"
"1270","AT4G22530","0.000499626708197098","TRUE","FALSE"
"1213","AT4G15790","0.000511935835850717","TRUE","FALSE"
"119","AT1G16090","0.000520430393815855","TRUE","FALSE"
"639","AT2G30750","0.000530068784152958","TRUE","FALSE"
"189","AT1G25400","0.000533866268742754","TRUE","FALSE"
"1156","AT4G03460","0.000560212305594662","TRUE","FALSE"
"899","AT3G18250","0.000587843324991099","TRUE","FALSE"
"876","AT3G14620","0.000699774160990477","TRUE","FALSE"
"943","AT3G25780","0.000731065907762841","TRUE","FALSE"
"615","AT2G27690","0.000731749080937039","TRUE","FALSE"
"1848","AT5G67080","0.000776243977354308","TRUE","FALSE"
"1168","AT4G08555","0.000784682703132096","TRUE","FALSE"
"608","AT2G26780","0.00084297164338727","TRUE","FALSE"
"129","AT1G17860","0.000861957465124562","TRUE","FALSE"
"1499","AT5G11730","0.000878558207138499","TRUE","FALSE"
"584","AT2G23180","0.000908171758331142","TRUE","FALSE"
"746","AT2G44370","0.000928725898875382","TRUE","FALSE"
"215","AT1G30250","0.000943739667179151","TRUE","FALSE"
"23","AT1G04250","0.000981490913134238","TRUE","FALSE"
"1300","AT4G25350","0.000988798575477666","TRUE","FALSE"
"18","AT1G02930","0.00101714562829356","TRUE","FALSE"
"1092","AT3G57040","0.00102055423643621","TRUE","FALSE"
"6","AT1G01860","0.00102179972932249","TRUE","FALSE"
"358","AT1G64670","0.00111094140148784","TRUE","FALSE"
"122","AT1G16680","0.00117802968591897","TRUE","FALSE"
"1635","AT5G37490","0.00117923323663194","TRUE","FALSE"
"151","AT1G20190","0.00119726492782259","TRUE","FALSE"
"1741","AT5G52280","0.00119745963704415","TRUE","FALSE"
"884","AT3G15850","0.00122725395275695","TRUE","FALSE"
"1260","AT4G21200","0.00129563924636488","TRUE","FALSE"
"410","AT1G70505","0.00139275654403515","TRUE","FALSE"
"835","AT3G10940","0.00140408425596991","TRUE","FALSE"
"178","AT1G23560","0.001450843317994","TRUE","FALSE"
"1257","AT4G20860","0.00148000917832533","TRUE","FALSE"
"1276","AT4G23215","0.0015898380179327","TRUE","FALSE"
"1401","AT4G37670","0.00160297923337075","TRUE","FALSE"
"1396","AT4G36945","0.0016452786538298","TRUE","FALSE"
"340","AT1G61560","0.00180768060336864","TRUE","FALSE"
"747","AT2G44380","0.00195091511937365","TRUE","FALSE"
"1444","AT5G03390","0.00198396276281291","TRUE","FALSE"
"13","AT1G02400","0.00218683396572488","TRUE","FALSE"
"1469","AT5G08000","0.0022066321750665","TRUE","FALSE"
"32","AT1G05300","0.00222590239233767","TRUE","FALSE"
"1230","AT4G18270","0.00230538824966175","TRUE","FALSE"
"607","AT2G26740","0.00242937603781073","TRUE","FALSE"
"748","AT2G44490","0.00262024459327146","TRUE","FALSE"
"1600","AT5G25040","0.00271300381811097","TRUE","FALSE"
"958","AT3G27750","0.00284341914658796","TRUE","FALSE"
"1557","AT5G18150","0.00291234491080753","TRUE","FALSE"
"1822","AT5G63640","0.00291464747834326","TRUE","FALSE"
"48","AT1G08090","0.00293914105789259","TRUE","FALSE"
"316","AT1G57790","0.00296798395630635","TRUE","FALSE"
"620","AT2G29110","0.00301046288000169","TRUE","FALSE"
"983","AT3G45260","0.00319064859945588","TRUE","FALSE"
"87","AT1G13650","0.00326367083163968","TRUE","FALSE"
"709","AT2G39380","0.00329759716865548","TRUE","FALSE"
"988","AT3G45650","0.00336101014108004","TRUE","FALSE"
"665","AT2G34170","0.00336157876049269","TRUE","FALSE"
"372","AT1G65845","0.0034502339928326","TRUE","FALSE"
"537","AT2G15820","0.00345970388261979","TRUE","FALSE"
"1289","AT4G24190","0.00350455814467962","TRUE","FALSE"
"1636","AT5G37600","0.00354868739154982","TRUE","FALSE"
"590","AT2G24090","0.00360301790134466","TRUE","FALSE"
"1023","AT3G50470","0.00386619726333609","TRUE","FALSE"
"1527","AT5G14320","0.00390497809805509","TRUE","FALSE"
"710","AT2G39420","0.00392923014432014","TRUE","FALSE"
"1638","AT5G38140","0.00397881782752242","TRUE","FALSE"
"214","AT1G30135","0.00411835002950346","TRUE","FALSE"
"375","AT1G66150","0.00417289158243268","TRUE","FALSE"
"1790","AT5G58940","0.00422940472400316","TRUE","FALSE"
"41","AT1G07160","0.00423115994917215","TRUE","FALSE"
"301","AT1G53625","0.00427721215890382","TRUE","FALSE"
"315","AT1G56720","0.00431475320595902","TRUE","FALSE"
"1454","AT5G05190","0.00434121731147647","TRUE","FALSE"
"1309","AT4G26530","0.0043471252664266","TRUE","FALSE"
"77","AT1G12860","0.00439414969295374","TRUE","FALSE"
"1735","AT5G51590","0.00443004888869075","TRUE","FALSE"
"1256","AT4G20840","0.00454607378559785","TRUE","FALSE"
"1191","AT4G12420","0.00465898275559707","TRUE","FALSE"
"712","AT2G39530","0.00468146109582138","TRUE","FALSE"
"1125","AT3G63010","0.00480772254144149","TRUE","FALSE"
"1423","AT5G01220","0.00492647621265698","TRUE","FALSE"
"430","AT1G73060","0.0049559949813862","TRUE","FALSE"
"563","AT2G20562","0.00508271652236221","TRUE","FALSE"
"1786","AT5G58340","0.00508298388684008","TRUE","FALSE"
"1601","AT5G25190","0.00508299171619462","TRUE","FALSE"
"1539","AT5G15740","0.00520393640185487","TRUE","FALSE"
"938","AT3G24730","0.00520423017820263","TRUE","FALSE"
"794","AT3G03870","0.00535591491882524","TRUE","FALSE"
"1814","AT5G62480","0.00538888809981087","TRUE","FALSE"
"1062","AT3G53650","0.00556212300544073","TRUE","FALSE"
"1714","AT5G47630","0.00556225178440515","TRUE","FALSE"
"881","AT3G15500","0.00558344614235517","TRUE","FALSE"
"218","AT1G30720","0.00560356022939199","TRUE","FALSE"
"557","AT2G19490","0.00585738798181152","TRUE","FALSE"
"1320","AT4G28730","0.00613734682163891","TRUE","FALSE"
"977","AT3G44680","0.00619172641155776","TRUE","FALSE"
"1170","AT4G08770","0.00619528292076857","TRUE","FALSE"
"763","AT2G46510","0.00631741857550657","TRUE","FALSE"
"967","AT3G33530","0.00634933403639797","TRUE","FALSE"
"1329","AT4G29740","0.00645371375542018","TRUE","FALSE"
"1434","AT5G02040","0.00666110075372522","TRUE","FALSE"
"326","AT1G60010","0.00684182784643859","TRUE","FALSE"
"586","AT2G23320","0.00684285807101006","TRUE","FALSE"
"915","AT3G21100","0.0069206039259249","TRUE","FALSE"
"1711","AT5G47420","0.00706619697891372","TRUE","FALSE"
