"","id","p_value","significant","significant_fdr"
"555","AT2G19190","0.000102257655118143","TRUE","TRUE"
"281","AT1G51850","0.000340397434235756","TRUE","TRUE"
"57","AT1G10140","0.00053118379042128","TRUE","TRUE"
"1101","AT3G59080","0.000735181480879082","TRUE","FALSE"
"1188","AT4G12230","0.000773889413227433","TRUE","FALSE"
"756","AT2G45290","0.000865674993566353","TRUE","FALSE"
"745","AT2G44370","0.000906123357360962","TRUE","FALSE"
"1443","AT5G03390","0.000907829624637304","TRUE","FALSE"
"353","AT1G64170","0.000960368652421402","TRUE","FALSE"
"1780","AT5G58250","0.00118133151032091","TRUE","FALSE"
"1483","AT5G10300","0.00146098062670095","TRUE","FALSE"
"436","AT1G73810","0.00164353521826683","TRUE","FALSE"
"1213","AT4G15920","0.00196766353220715","TRUE","FALSE"
"252","AT1G44000","0.00216616865642329","TRUE","FALSE"
"428","AT1G72520","0.00216683174673219","TRUE","FALSE"
"389","AT1G67850","0.00218155934377494","TRUE","FALSE"
"1136","AT4G00970","0.00238804663512856","TRUE","FALSE"
"916","AT3G21230","0.00269132463573211","TRUE","FALSE"
"809","AT3G06490","0.00278574550441367","TRUE","FALSE"
"990","AT3G46280","0.00305678510309573","TRUE","FALSE"
"1284","AT4G23610","0.00319259201442946","TRUE","FALSE"
"146","AT1G19690","0.00320019375434519","TRUE","FALSE"
"1155","AT4G03460","0.0034173740795475","TRUE","FALSE"
"689","AT2G36690","0.00346115341863257","TRUE","FALSE"
"869","AT3G14240","0.00355414366864463","TRUE","FALSE"
"541","AT2G16430","0.00360462360835896","TRUE","FALSE"
"1580","AT5G23330","0.00406386760745887","TRUE","FALSE"
"1182","AT4G11330","0.00431442199755796","TRUE","FALSE"
"89","AT1G14010","0.0044348749218548","TRUE","FALSE"
"510","AT2G02060","0.00478733364572035","TRUE","FALSE"
"891","AT3G17000","0.00520382188881484","TRUE","FALSE"
"492","AT1G79600","0.00522589415513521","TRUE","FALSE"
"1217","AT4G16563","0.00524790997762502","TRUE","FALSE"
"1254","AT4G20830","0.00539112831604897","TRUE","FALSE"
"33","AT1G05385","0.00539823306422319","TRUE","FALSE"
"364","AT1G65390","0.00556222570244012","TRUE","FALSE"
"105","AT1G15260","0.0055623972560844","TRUE","FALSE"
"496","AT1G80300","0.00559519883603667","TRUE","FALSE"
"214","AT1G30135","0.00650911802134123","TRUE","FALSE"
"1755","AT5G54810","0.00657216869160374","TRUE","FALSE"
"1536","AT5G15640","0.00680519453678174","TRUE","FALSE"
"1339","AT4G30280","0.0069432392125472","TRUE","FALSE"
"1698","AT5G45930","0.00729448024905081","TRUE","FALSE"
"1618","AT5G27990","0.00729596807694031","TRUE","FALSE"
"921","AT3G22160","0.00745940449177286","TRUE","FALSE"
"1773","AT5G57550","0.00756085404777202","TRUE","FALSE"
"1651","AT5G40280","0.00773196742812424","TRUE","FALSE"
"661","AT2G33570","0.00790625373804651","TRUE","FALSE"
"579","AT2G22890","0.00790685909324583","TRUE","FALSE"
"729","AT2G41760","0.00790882704332616","TRUE","FALSE"
"178","AT1G23560","0.00796979409574993","TRUE","FALSE"
"1719","AT5G48430","0.00831985804365252","TRUE","FALSE"
"1794","AT5G59550","0.00832395145691108","TRUE","FALSE"
"498","AT1G80450","0.00901795266659929","TRUE","FALSE"
"1306","AT4G26370","0.00922452307996273","TRUE","FALSE"
"332","AT1G61100","0.00969523682450557","TRUE","FALSE"
"683","AT2G35930","0.00975877012267217","TRUE","FALSE"
"314","AT1G56260","0.00979542036425781","TRUE","FALSE"
"278","AT1G51790","0.00983751175354127","TRUE","FALSE"
"97","AT1G14520","0.0100488918220692","TRUE","FALSE"
"87","AT1G13650","0.010050424505301","TRUE","FALSE"
"194","AT1G26761","0.0100936043355051","TRUE","FALSE"
"956","AT3G27690","0.0106519446027667","TRUE","FALSE"
"1051","AT3G52450","0.0107289082238948","TRUE","FALSE"
"1276","AT4G23220","0.0118380264809309","TRUE","FALSE"
"416","AT1G70730","0.012065551367394","TRUE","FALSE"
"1771","AT5G57345","0.0124678029999577","TRUE","FALSE"
"41","AT1G07160","0.0131595808573935","TRUE","FALSE"
"1574","AT5G21100","0.0131730799180326","TRUE","FALSE"
"807","AT3G06350","0.0133800651464575","TRUE","FALSE"
"706","AT2G39200","0.0133870218614728","TRUE","FALSE"
"614","AT2G27690","0.0136200021199819","TRUE","FALSE"
"663","AT2G33710","0.0137276633847985","TRUE","FALSE"
"799","AT3G04450","0.0137278139346781","TRUE","FALSE"
"1639","AT5G38240","0.0137289589654841","TRUE","FALSE"
"360","AT1G64970","0.0138394001542978","TRUE","FALSE"
"1128","AT3G63190","0.0143303511386815","TRUE","FALSE"
"1106","AT3G59778","0.0144421089523556","TRUE","FALSE"
"1847","AT5G67080","0.0146967270809722","TRUE","FALSE"
"1542","AT5G16030","0.0147628468525566","TRUE","FALSE"
"154","AT1G20810","0.0149192696959423","TRUE","FALSE"
"1078","AT3G55430","0.0154649984823707","TRUE","FALSE"
"1317","AT4G28630","0.0154671730636574","TRUE","FALSE"
"1632","AT5G37300","0.0154672897339342","TRUE","FALSE"
"1683","AT5G44568","0.0154679129147515","TRUE","FALSE"
"774","AT2G48070","0.0156764884104846","TRUE","FALSE"
"83","AT1G13250","0.0160877984395564","TRUE","FALSE"
"461","AT1G76185","0.0161531904143208","TRUE","FALSE"
"258","AT1G45474","0.0163474138504803","TRUE","FALSE"
"1194","AT4G12500","0.0166626588165552","TRUE","FALSE"
"158","AT1G21100","0.016826083171355","TRUE","FALSE"
"480","AT1G78450","0.0174640506649731","TRUE","FALSE"
"1579","AT5G23060","0.0174884870818644","TRUE","FALSE"
"812","AT3G07195","0.0177179179504813","TRUE","FALSE"
"1292","AT4G24680","0.0183776993613139","TRUE","FALSE"
"1185","AT4G11850","0.0185401921948783","TRUE","FALSE"
"585","AT2G23320","0.0185419364355488","TRUE","FALSE"
"545","AT2G17420","0.0187583717070205","TRUE","FALSE"
"1596","AT5G24580","0.0188358561402128","TRUE","FALSE"
"1202","AT4G14550","0.0189791215072529","TRUE","FALSE"
"803","AT3G05360","0.0189800589365335","TRUE","FALSE"
"512","AT2G02970","0.0192556781465727","TRUE","FALSE"
"758","AT2G45570","0.0194236546578393","TRUE","FALSE"
"1499","AT5G12040","0.0194239826879742","TRUE","FALSE"
"980","AT3G45060","0.0194246405081356","TRUE","FALSE"
"993","AT3G46620","0.0201928614484274","TRUE","FALSE"
"1332","AT4G30020","0.0211056883511214","TRUE","FALSE"
"1046","AT3G52170","0.0217586014430318","TRUE","FALSE"
"1722","AT5G49100","0.0223400295443864","TRUE","FALSE"
"1637","AT5G38140","0.0224065293774028","TRUE","FALSE"
