"","id","p_value","significant","significant_fdr"
"7180","AT5G61820","0.000231453212755143","TRUE","TRUE"
"2350","AT2G23600","0.000242263654903834","TRUE","TRUE"
"5387","AT4G31780","0.000287725020569936","TRUE","TRUE"
"5972","AT5G11670","0.000319837014458981","TRUE","TRUE"
"359","AT1G12940","0.000337078110984149","TRUE","TRUE"
"2915","AT2G42190","0.00035524892126402","TRUE","TRUE"
"274","AT1G09970","0.000356420927793681","TRUE","TRUE"
"639","AT1G21630","0.000365041711798359","TRUE","TRUE"
"6641","AT5G42830","0.000387586967281842","TRUE","TRUE"
"358","AT1G12900","0.000453122272480148","TRUE","TRUE"
"4549","AT4G01250","0.000473392739339501","TRUE","TRUE"
"3609","AT3G17900","0.000617509817394587","TRUE","TRUE"
"855","AT1G30320","0.000669465549589715","TRUE","TRUE"
"6601","AT5G41580","0.000684515309403961","TRUE","TRUE"
"1226","AT1G54780","0.000693415682576143","TRUE","FALSE"
"5648","AT4G39420","0.000734364960788503","TRUE","FALSE"
"993","AT1G38185","0.000734670075949057","TRUE","FALSE"
"4840","AT4G14210","0.000735219478835542","TRUE","FALSE"
"2823","AT2G39700","0.000735303012252599","TRUE","FALSE"
"5637","AT4G39040","0.000737552071332489","TRUE","FALSE"
"5495","AT4G34950","0.000781777779617382","TRUE","FALSE"
"4552","AT4G01320","0.000860759990652835","TRUE","FALSE"
"1197","AT1G53760","0.000907708186396658","TRUE","FALSE"
"3754","AT3G23000","0.000907809206379816","TRUE","FALSE"
"4112","AT3G50480","0.000950257307335202","TRUE","FALSE"
"6242","AT5G20590","0.00101927038276486","TRUE","FALSE"
"1239","AT1G55370","0.00113758869728841","TRUE","FALSE"
"6854","AT5G49980","0.00120662114567857","TRUE","FALSE"
"3806","AT3G25500","0.00124305958866744","TRUE","FALSE"
"575","AT1G19700","0.00141870321010874","TRUE","FALSE"
"296","AT1G10585","0.001459058541363","TRUE","FALSE"
"2725","AT2G36870","0.00148573637844107","TRUE","FALSE"
"6748","AT5G46050","0.00151834644467441","TRUE","FALSE"
"6292","AT5G23010","0.00162505987504099","TRUE","FALSE"
"6059","AT5G14740","0.001636004404191","TRUE","FALSE"
"2622","AT2G33320","0.00171127931542831","TRUE","FALSE"
"4203","AT3G53180","0.001790017345716","TRUE","FALSE"
"2615","AT2G33020","0.00180974937996947","TRUE","FALSE"
"3115","AT3G01540","0.00188042813931685","TRUE","FALSE"
"6061","AT5G14880","0.00189414868642872","TRUE","FALSE"
"6093","AT5G15870","0.00198347123220985","TRUE","FALSE"
"7314","AT5G65990","0.00198370734161717","TRUE","FALSE"
"42","AT1G02170","0.00216663938780209","TRUE","FALSE"
"281","AT1G10140","0.00218443336219354","TRUE","FALSE"
"978","AT1G35350","0.00219055823446939","TRUE","FALSE"
"3989","AT3G45780","0.00233771075647287","TRUE","FALSE"
"5475","AT4G34310","0.00238811591549805","TRUE","FALSE"
"3937","AT3G41768","0.00251354608604962","TRUE","FALSE"
"2056","AT2G05380","0.00269236745548033","TRUE","FALSE"
