"X","id","p_value","significant","significant_fdr"
4084,"AT3G48980",0.000101456228466668,TRUE,TRUE
7028,"AT5G55760",0.000109247039838967,TRUE,TRUE
3296,"AT3G07390",0.000117351534894535,TRUE,TRUE
1835,"AT1G77122",0.000123591724539902,TRUE,TRUE
4147,"AT3G51470",0.000142462535761573,TRUE,TRUE
5488,"AT4G34555",0.000143528176696071,TRUE,TRUE
6324,"AT5G23750",0.00014807020372796,TRUE,TRUE
1838,"AT1G77280",0.000160009766985065,TRUE,TRUE
713,"AT1G24140",0.000164426164974156,TRUE,TRUE
3492,"AT3G14000",0.000166560615760527,TRUE,TRUE
57,"AT1G02520",0.000188092131830737,TRUE,TRUE
4825,"AT4G13572",0.000190095630609692,TRUE,TRUE
5630,"AT4G38700",0.000194378983126572,TRUE,TRUE
6391,"AT5G26170",0.000199735955595861,TRUE,TRUE
7286,"AT5G65130",0.000207975588124988,TRUE,TRUE
4479,"AT3G62470",0.000209674916344023,TRUE,TRUE
5713,"AT5G02050",0.000209781644958069,TRUE,TRUE
3944,"AT3G42433",0.000213480745025332,TRUE,TRUE
6725,"AT5G44910",0.000217900732916565,TRUE,TRUE
5066,"AT4G21390",0.000223258699360726,TRUE,TRUE
2114,"AT2G14520",0.000231409231804006,TRUE,TRUE
3093,"AT2G47860",0.000241824520867098,TRUE,TRUE
269,"AT1G09810",0.000244429737439033,TRUE,TRUE
1461,"AT1G65390",0.000248569647941056,TRUE,TRUE
3936,"AT3G31440",0.00025023884338294,TRUE,TRUE
5197,"AT4G25350",0.000260680673213133,TRUE,TRUE
5099,"AT4G22730",0.000265675604039158,TRUE,TRUE
7256,"AT5G64190",0.000272626826077525,TRUE,TRUE
4298,"AT3G55950",0.000277709221027095,TRUE,TRUE
5370,"AT4G31060",0.000295367994640651,TRUE,TRUE
6453,"AT5G28910",0.000299424453562208,TRUE,TRUE
484,"AT1G16420",0.000307930913751849,TRUE,TRUE
7247,"AT5G63990",0.000320659482633071,TRUE,TRUE
2098,"AT2G12400",0.00032403677118352,TRUE,TRUE
3453,"AT3G12930",0.000355029683232652,TRUE,TRUE
2745,"AT2G37430",0.000361593275301652,TRUE,TRUE
4219,"AT3G53600",0.000377910235793998,TRUE,TRUE
4584,"AT4G01935",0.000387087014826362,TRUE,TRUE
7231,"AT5G63500",0.000387181117771495,TRUE,TRUE
6168,"AT5G18020",0.000412287206116474,TRUE,TRUE
3646,"AT3G18910",0.000425023664595982,TRUE,TRUE
2450,"AT2G27385",0.000436467638349878,TRUE,TRUE
7039,"AT5G56100",0.000437952413354871,TRUE,TRUE
379,"AT1G13550",0.000444844599190883,TRUE,TRUE
2606,"AT2G32660",0.000453299303023717,TRUE,TRUE
2846,"AT2G40110",0.000453483329526661,TRUE,TRUE
2821,"AT2G39530",0.000456574932305414,TRUE,TRUE
6174,"AT5G18150",0.00045725202151618,TRUE,TRUE
3582,"AT3G16660",0.00046111739484655,TRUE,TRUE
5465,"AT4G34060",0.000461766495883097,TRUE,TRUE
1136,"AT1G51820",0.000467686873087574,TRUE,TRUE
5946,"AT5G10800",0.000476755198910929,TRUE,TRUE
6332,"AT5G24080",0.00048159382025759,TRUE,TRUE
2062,"AT2G05540",0.00050374675863377,TRUE,TRUE
7031,"AT5G55930",0.000515789344567922,TRUE,TRUE
1981,"AT2G01750",0.000530122854504067,TRUE,TRUE
312,"AT1G11060",0.00053384673439426,TRUE,TRUE
5580,"AT4G37320",0.000535342591430563,TRUE,TRUE
6553,"AT5G39610",0.000548756391489716,TRUE,TRUE
5024,"AT4G19865",0.000555170799274874,TRUE,TRUE
4577,"AT4G01850",0.000566484833299136,TRUE,TRUE
4775,"AT4G11890",0.000567116109805533,TRUE,TRUE
2852,"AT2G40200",0.000584682265645156,TRUE,TRUE
7305,"AT5G65640",0.000594554606892182,TRUE,TRUE
7073,"AT5G57510",0.000602874105972619,TRUE,TRUE
6527,"AT5G38520",0.000622533014670813,TRUE,TRUE
4012,"AT3G46690",0.000625656012508144,TRUE,TRUE
1666,"AT1G72030",0.000627155084502984,TRUE,TRUE
506,"AT1G17350",0.000628945171855334,TRUE,TRUE
6672,"AT5G43580",0.000629380139549981,TRUE,TRUE
4692,"AT4G07820",0.000636203375511819,TRUE,TRUE
5388,"AT4G31670",0.000647157708166278,TRUE,TRUE
371,"AT1G13280",0.00064793554477279,TRUE,TRUE
2073,"AT2G06010",0.00067530640491146,TRUE,TRUE
2386,"AT2G24730",0.000681429634591848,TRUE,TRUE
1949,"AT1G80840",0.000686915099379015,TRUE,TRUE
1788,"AT1G75840",0.0006937746287173,TRUE,TRUE
2007,"AT2G02950",0.000693813105486349,TRUE,TRUE
6333,"AT5G24110",0.00069954012140935,TRUE,TRUE
1197,"AT1G53700",0.000700707544010808,TRUE,TRUE
7050,"AT5G56610",0.000719374503209964,TRUE,TRUE
3456,"AT3G12977",0.000723107653653365,TRUE,TRUE
5588,"AT4G37520",0.000730484078596513,TRUE,TRUE
3841,"AT3G26230",0.000734704452538498,TRUE,TRUE
5200,"AT4G25480",0.000735809916894967,TRUE,TRUE
3060,"AT2G46610",0.000735929145041811,TRUE,TRUE
846,"AT1G29980",0.00073610072651051,TRUE,TRUE
4390,"AT3G59070",0.000744329364517805,TRUE,TRUE
463,"AT1G15840",0.000747986009655682,TRUE,TRUE
3232,"AT3G05360",0.000757442290513175,TRUE,TRUE
4030,"AT3G47470",0.000775723353276435,TRUE,TRUE
1201,"AT1G53790",0.000786524762156522,TRUE,TRUE
5232,"AT4G26620",0.000787616294339417,TRUE,TRUE
28,"AT1G01830",0.000800211614431693,TRUE,TRUE
3945,"AT3G42660",0.000807086180117923,TRUE,TRUE
2332,"AT2G22890",0.000809109479680783,TRUE,TRUE
6994,"AT5G54810",0.000817646536015071,TRUE,TRUE
5959,"AT5G11140",0.000820620223230388,TRUE,TRUE
6497,"AT5G36925",0.000824437110499458,TRUE,TRUE
6715,"AT5G44585",0.000826244598669924,TRUE,TRUE
95,"AT1G04040",0.000832857341068737,TRUE,TRUE
6605,"AT5G41460",0.000858730439496425,TRUE,TRUE
4035,"AT3G47560",0.000869013448028651,TRUE,TRUE
3390,"AT3G10840",0.000873455718405379,TRUE,TRUE
1530,"AT1G67850",0.000874016074499906,TRUE,TRUE
2653,"AT2G34170",0.000894819979330974,TRUE,TRUE
1188,"AT1G53400",0.000910474431871515,TRUE,TRUE
1471,"AT1G65690",0.000932121382591179,TRUE,TRUE
2325,"AT2G22770",0.000963849465346117,TRUE,TRUE
1479,"AT1G65920",0.000964066168730346,TRUE,TRUE
2075,"AT2G06200",0.000969949736019165,TRUE,TRUE
6535,"AT5G38895",0.000974099503655046,TRUE,TRUE
765,"AT1G27180",0.000980588150542155,TRUE,TRUE
6964,"AT5G53940",0.000983091150025507,TRUE,TRUE
5732,"AT5G02830",0.000984102017403757,TRUE,TRUE
7161,"AT5G60710",0.00100734527427225,TRUE,TRUE
5754,"AT5G03390",0.0010081331353585,TRUE,TRUE
6464,"AT5G34940",0.00100822480240967,TRUE,TRUE
3891,"AT3G27890",0.00100825494362446,TRUE,TRUE
2676,"AT2G35000",0.00101121119798534,TRUE,TRUE
1810,"AT1G76390",0.00102182266770121,TRUE,TRUE
5478,"AT4G34260",0.0010326614577077,TRUE,TRUE
6724,"AT5G44830",0.0010361380308238,TRUE,TRUE
84,"AT1G03630",0.00104343474622191,TRUE,TRUE
2658,"AT2G34420",0.00105185618951674,TRUE,TRUE
7242,"AT5G63830",0.00105856216499023,TRUE,TRUE
5353,"AT4G30610",0.00106125225080982,TRUE,TRUE
6109,"AT5G16170",0.00106203979986531,TRUE,TRUE
