"","id","p_value","significant","significant_fdr"
"487","AT1G16590","0.000102690320095825","TRUE","TRUE"
"4093","AT3G49320","0.000103854954176407","TRUE","TRUE"
"4761","AT4G11330","0.000103863031430317","TRUE","TRUE"
"4450","AT3G61390","0.000104823482571944","TRUE","TRUE"
"269","AT1G09810","0.000107725716731758","TRUE","TRUE"
"1981","AT2G01750","0.000109913854962505","TRUE","TRUE"
"1182","AT1G53250","0.000110577387267652","TRUE","TRUE"
"3903","AT3G28450","0.000114892652295956","TRUE","TRUE"
"1135","AT1G51800","0.000115908250427498","TRUE","TRUE"
"3623","AT3G18230","0.000116135678020816","TRUE","TRUE"
"1652","AT1G71520","0.000116200154951691","TRUE","TRUE"
"6204","AT5G19190","0.000117477428472828","TRUE","TRUE"
"6799","AT5G47740","0.00011761821874747","TRUE","TRUE"
"5043","AT4G20460","0.000118122480033106","TRUE","TRUE"
"2333","AT2G22970","0.000119336009983239","TRUE","FALSE"
"80","AT1G03510","0.000121978638274614","TRUE","FALSE"
"4807","AT4G12917","0.000122087220788578","TRUE","FALSE"
"3241","AT3G05750","0.000123509783617293","TRUE","FALSE"
"2979","AT2G43920","0.00012451158026718","TRUE","TRUE"
"2645","AT2G33800","0.000124523568729754","TRUE","TRUE"
"636","AT1G21525","0.000124841646147493","TRUE","TRUE"
"6982","AT5G54530","0.000124916138245633","TRUE","TRUE"
"4554","AT4G01250","0.000129885266778509","TRUE","TRUE"
"7021","AT5G55580","0.000130100568535778","TRUE","TRUE"
"6509","AT5G37600","0.000131387633465486","TRUE","TRUE"
"2927","AT2G42360","0.000131813552073293","TRUE","TRUE"
"6877","AT5G50760","0.000133839745861589","TRUE","TRUE"
"6784","AT5G47230","0.000138555724664885","TRUE","TRUE"
"6789","AT5G47445","0.000139832710984593","TRUE","TRUE"
"918","AT1G32350","0.000140126923777329","TRUE","TRUE"
"6672","AT5G43580","0.000145468281489967","TRUE","TRUE"
"6409","AT5G26920","0.000145807725026251","TRUE","TRUE"
"4857","AT4G14450","0.000146797972373743","TRUE","TRUE"
"2483","AT2G28580","0.000148042766938837","TRUE","TRUE"
"3868","AT3G27080","0.000151246891876644","TRUE","TRUE"
"4979","AT4G18220","0.000151574762978233","TRUE","TRUE"
"2032","AT2G04070","0.000152713752583821","TRUE","TRUE"
"6074","AT5G15110","0.00015584348568474","TRUE","TRUE"
"1783","AT1G75750","0.000156084838922368","TRUE","TRUE"
"2584","AT2G31865","0.000156844946039902","TRUE","TRUE"
"506","AT1G17350","0.000165063625771845","TRUE","TRUE"
"3608","AT3G17668","0.000165144354797673","TRUE","TRUE"
"467","AT1G15960","0.00016623319558293","TRUE","TRUE"
"4789","AT4G12320","0.000173565933965854","TRUE","TRUE"
"7161","AT5G60710","0.000174044814277861","TRUE","TRUE"
"2168","AT2G17230","0.000176441569149026","TRUE","TRUE"
"3970","AT3G44610","0.000177933321170552","TRUE","TRUE"
"713","AT1G24140","0.000182654962866852","TRUE","TRUE"
"2031","AT2G04040","0.000183648726139319","TRUE","TRUE"
