"","id","p_value","significant"
"112","AT1G02500","4.40794172445458e-18","TRUE"
"113","AT1G02520","1.46630390623342e-06","TRUE"
"114","AT1G02560","1.73564319695986e-11","TRUE"
"115","AT1G02610","0.0322774653432074","TRUE"
"116","AT1G02620","0.230488241615579","FALSE"
"117","AT1G02660","0.315343568354418","FALSE"
"118","AT1G02680","0.397241615635927","FALSE"
"119","AT1G02690","0.0358862008545802","TRUE"
"120","AT1G02710","0.390906400475861","FALSE"
"121","AT1G02720","0.497313303535055","FALSE"
"122","AT1G02740","0.00193712084148886","TRUE"
"123","AT1G02750","0.130428644419874","FALSE"
"124","AT1G02780","0.791062680748543","FALSE"
"125","AT1G02816","0.12149898643807","FALSE"
"126","AT1G02820","0.00012786282376036","TRUE"
"127","AT1G02840","0.198199701671416","FALSE"
"128","AT1G02850","0.101914552855452","FALSE"
"129","AT1G02860","0.129329697365326","FALSE"
"130","AT1G02870","0.314914175451539","FALSE"
"131","AT1G02880","0.612569337816177","FALSE"
"132","AT1G02890","0.442231946033862","FALSE"
"133","AT1G02910","0.124100542309432","FALSE"
"134","AT1G02920","0","TRUE"
"135","AT1G02930","4.39101212254716e-139","TRUE"
"136","AT1G02950","0.000941827010043284","TRUE"
"137","AT1G02960","0.276379047768892","FALSE"
"138","AT1G02990","0.270021281090401","FALSE"
"139","AT1G03000","0.744874911258316","FALSE"
"140","AT1G03030","0.00120070860287408","TRUE"
"141","AT1G03040","0.0253337303580033","TRUE"
"142","AT1G03055","0.0457734860937379","TRUE"
"143","AT1G03060","0.0935529037598942","FALSE"
"144","AT1G03080","0.306328341170192","FALSE"
"145","AT1G03090","0.999992282066169","FALSE"
"146","AT1G03110","0.0477552691174489","TRUE"
"147","AT1G03130","9.137812873418e-14","TRUE"
"148","AT1G03140","0.47641741325084","FALSE"
"149","AT1G03150","0.092703157986156","FALSE"
"150","AT1G03160","0.0465254334582861","TRUE"
"151","AT1G03190","0.269936867662581","FALSE"
"152","AT1G03200","0.300850777048827","FALSE"
"153","AT1G03210","0.475065074795541","FALSE"
