"","X","id","p_value","significant","significant_fdr"
"99",516,"AT2G04070",0.0216873822882526,TRUE,FALSE
"100",1161,"AT4G04635",0.0216883949311416,TRUE,FALSE
"101",315,"AT1G56720",0.0216891901525624,TRUE,FALSE
"102",936,"AT3G24090",0.0220624334577423,TRUE,FALSE
"103",1074,"AT3G55040",0.0220624334582961,TRUE,FALSE
"104",1842,"AT5G65830",0.0220625718079607,TRUE,FALSE
"105",1296,"AT4G25070",0.0220653013540413,TRUE,FALSE
"106",1851,"AT5G67500",0.0222490038949351,TRUE,FALSE
"107",1551,"AT5G17350",0.0231471371852199,TRUE,FALSE
"108",640,"AT2G30770",0.023194403957433,TRUE,FALSE
"109",727,"AT2G41110",0.0231951269105697,TRUE,FALSE
"110",476,"AT1G78170",0.0232011928210506,TRUE,FALSE
"111",215,"AT1G30250",0.0236293732084367,TRUE,FALSE
"112",624,"AT2G29490",0.0238720655373461,TRUE,FALSE
"113",1392,"AT4G36680",0.0238900101520614,TRUE,FALSE
"114",684,"AT2G35930",0.0238905594644518,TRUE,FALSE
"115",814,"AT3G07460",0.0238907022330089,TRUE,FALSE
"116",1377,"AT4G35100",0.0238907130496407,TRUE,FALSE
"117",670,"AT2G34600",0.023892317661852,TRUE,FALSE
"118",1137,"AT4G01290",0.0238930730154553,TRUE,FALSE
"119",456,"AT1G76100",0.0239233217608163,TRUE,FALSE
"120",961,"AT3G28130",0.023928266574124,TRUE,FALSE
"121",1354,"AT4G32020",0.0254651535665179,TRUE,FALSE
"122",95,"AT1G14345",0.0264904773773632,TRUE,FALSE
"123",1723,"AT5G49120",0.0265773366717289,TRUE,FALSE
"124",429,"AT1G72890",0.0265774745893638,TRUE,FALSE
"125",202,"AT1G28530",0.0265794636576357,TRUE,FALSE
"126",204,"AT1G28620",0.0265798752233228,TRUE,FALSE
"127",1386,"AT4G36220",0.0267240294710516,TRUE,FALSE
"128",1456,"AT5G05600",0.026728957697546,TRUE,FALSE
"129",107,"AT1G15430",0.0270061965454212,TRUE,FALSE
"130",1388,"AT4G36640",0.0271297274366331,TRUE,FALSE
"131",1326,"AT4G29610",0.0271338880956706,TRUE,FALSE
"132",1332,"AT4G30020",0.0279699262560589,TRUE,FALSE
"133",87,"AT1G13650",0.0281345124974591,TRUE,FALSE
"134",1267,"AT4G22200",0.0282950193088466,TRUE,FALSE
"135",992,"AT3G46370",0.0282953609627078,TRUE,FALSE
"136",839,"AT3G11110",0.0282961921156102,TRUE,FALSE
"137",1444,"AT5G03520",0.0284479310960611,TRUE,FALSE
"138",1697,"AT5G45820",0.0284570732543565,TRUE,FALSE
"139",1660,"AT5G42070",0.028500223679457,TRUE,FALSE
"140",1520,"AT5G13630",0.0301869503122962,TRUE,FALSE
"141",452,"AT1G75750",0.0303847277297777,TRUE,FALSE
"142",156,"AT1G21000",0.0313113327769133,TRUE,FALSE
"143",757,"AT2G45290",0.0317074380331992,TRUE,FALSE
"144",1850,"AT5G67450",0.0317426899596065,TRUE,FALSE
"145",1765,"AT5G56747",0.0317426900053082,TRUE,FALSE
"146",1725,"AT5G49740",0.0317430240999213,TRUE,FALSE
"147",1091,"AT3G57040",0.0317446684935522,TRUE,FALSE
"148",693,"AT2G36910",0.0319730446289074,TRUE,FALSE
"149",305,"AT1G54500",0.0321441278797003,TRUE,FALSE
"150",1818,"AT5G62960",0.0330979022724638,TRUE,FALSE
"151",732,"AT2G42300",0.0332979889106195,TRUE,FALSE
"152",1119,"AT3G62240",0.0333829061008757,TRUE,FALSE
"153",1252,"AT4G20460",0.0333849665715143,TRUE,FALSE
"154",741,"AT2G43590",0.0333849665747131,TRUE,FALSE
"155",239,"AT1G33600",0.0334465248771289,TRUE,FALSE
"156",250,"AT1G43670",0.0334467653497359,TRUE,FALSE
"157",1165,"AT4G08470",0.0334473121379131,TRUE,FALSE
"158",1421,"AT5G01100",0.0334493135412543,TRUE,FALSE
"159",247,"AT1G42480",0.0334502322800534,TRUE,FALSE
"160",354,"AT1G64200",0.0334555654032829,TRUE,FALSE
"161",1333,"AT4G30060",0.0334679538419441,TRUE,FALSE
"162",47,"AT1G08050",0.0338795814162615,TRUE,FALSE
"163",1292,"AT4G24680",0.0339823983930408,TRUE,FALSE
"164",613,"AT2G27580",0.0339848707113586,TRUE,FALSE
"165",104,"AT1G15240",0.0339921809676851,TRUE,FALSE
"166",1142,"AT4G01810",0.0346163717300549,TRUE,FALSE
"167",115,"AT1G15820",0.03581381245226,TRUE,FALSE
"168",790,"AT3G02830",0.0366238163815706,TRUE,FALSE
"169",733,"AT2G42360",0.0366546218555536,TRUE,FALSE
"170",1314,"AT4G27440",0.0370779986787953,TRUE,FALSE
"171",620,"AT2G29110",0.0371204490427809,TRUE,FALSE
"172",690,"AT2G36690",0.0371205451124023,TRUE,FALSE
"173",883,"AT3G15760",0.0377327227610617,TRUE,FALSE
"174",1164,"AT4G06744",0.0377327227630102,TRUE,FALSE
"175",57,"AT1G10140",0.0384887587390049,TRUE,FALSE
"176",1268,"AT4G22260",0.0387027240433355,TRUE,FALSE
"177",135,"AT1G18950",0.0387061807401008,TRUE,FALSE
"178",767,"AT2G46910",0.0392664484246525,TRUE,FALSE
"179",478,"AT1G78280",0.0392677622907663,TRUE,FALSE
"180",318,"AT1G58190",0.039268097698563,TRUE,FALSE
"181",1384,"AT4G35780",0.0392701690989895,TRUE,FALSE
"182",1834,"AT5G64660",0.0392730407149831,TRUE,FALSE
"183",956,"AT3G27390",0.0397134986568811,TRUE,FALSE
"184",830,"AT3G10405",0.0401365620000501,TRUE,FALSE
"185",375,"AT1G66150",0.0401365620052351,TRUE,FALSE
"186",163,"AT1G21450",0.0401373318257971,TRUE,FALSE
"187",307,"AT1G54820",0.0404748106827092,TRUE,FALSE
"188",1650,"AT5G40150",0.0404754668779639,TRUE,FALSE
"189",978,"AT3G44720",0.0404761770257977,TRUE,FALSE
"190",566,"AT2G21230",0.0404774197123031,TRUE,FALSE
"191",1317,"AT4G28630",0.0404790132767586,TRUE,FALSE
"192",237,"AT1G32940",0.0405474059358993,TRUE,FALSE
"193",299,"AT1G53430",0.0407396222279742,TRUE,FALSE
"194",1434,"AT5G02160",0.0412994839539272,TRUE,FALSE
"195",100,"AT1G14670",0.0413436220300084,TRUE,FALSE
"196",1681,"AT5G44390",0.0419577020218114,TRUE,FALSE
"197",1397,"AT4G37520",0.0422996459676375,TRUE,FALSE
"198",523,"AT2G06520",0.043440954411291,TRUE,FALSE
"199",1340,"AT4G30390",0.0441847098117503,TRUE,FALSE
"200",390,"AT1G68010",0.0442175895112965,TRUE,FALSE
"201",641,"AT2G30980",0.0446909594767886,TRUE,FALSE
"202",1732,"AT5G51100",0.0460686114637252,TRUE,FALSE
"203",1311,"AT4G26910",0.0461301601490072,TRUE,FALSE
"204",565,"AT2G20720",0.046602806801528,TRUE,FALSE
"205",1606,"AT5G25940",0.0466617228134478,TRUE,FALSE
"206",1343,"AT4G30580",0.0466632164742393,TRUE,FALSE
"207",1801,"AT5G60410",0.046667212164637,TRUE,FALSE
"208",1591,"AT5G24300",0.046673657402823,TRUE,FALSE
"209",1112,"AT3G60540",0.0468062099711992,TRUE,FALSE
"210",1813,"AT5G62480",0.047664601851233,TRUE,FALSE
"211",1028,"AT3G50920",0.0480357158701125,TRUE,FALSE
