"","X","id","p_value","significant","significant_fdr"
"978",978,"AT1G15060",0.736291127624237,TRUE,TRUE
"13816",13816,"AT5G18200",0.736365196183393,TRUE,TRUE
"11605",11605,"AT4G24880",0.736428731269543,TRUE,TRUE
"12441",12441,"AT4G36800",0.736468890048408,TRUE,TRUE
"5106",5106,"AT2G21580",0.73648771281833,TRUE,TRUE
"5199",5199,"AT2G23350",0.73652139247985,TRUE,TRUE
"7801",7801,"AT3G13810",0.736594512615836,TRUE,TRUE
"11612",11612,"AT4G24972",0.736696780799801,TRUE,TRUE
"12339",12339,"AT4G35350",0.736721853571076,TRUE,TRUE
"15750",15750,"AT5G56890",0.736827660019287,TRUE,TRUE
"11823",11823,"AT4G28060",0.736898449101951,TRUE,TRUE
"5167",5167,"AT2G22795",0.7369164743334,TRUE,TRUE
"7831",7831,"AT3G14180",0.736983123662621,TRUE,TRUE
"6",6,"AT1G01060",0.737147685949876,TRUE,TRUE
"4773",4773,"AT2G16370",0.737241133001175,TRUE,TRUE
"8964",8964,"AT3G44940",0.737340579706772,TRUE,TRUE
"14532",14532,"AT5G36935",0.737370040646049,TRUE,TRUE
"5485",5485,"AT2G28130",0.737558875170547,TRUE,TRUE
"8990",8990,"AT3G45610",0.737566509143514,TRUE,TRUE
"10583",10583,"AT4G08710",0.737569368237176,TRUE,TRUE
"15151",15151,"AT5G47580",0.737802077087431,TRUE,TRUE
"10409",10409,"AT4G03240",0.737905376737475,TRUE,TRUE
"2031",2031,"AT1G32260",0.737955403398385,TRUE,TRUE
"14212",14212,"AT5G24380",0.738105558756535,TRUE,TRUE
"2188",2188,"AT1G36130",0.73816944729023,TRUE,TRUE
"12561",12561,"AT4G38470",0.738305606998098,TRUE,TRUE
"4981",4981,"AT2G19790",0.738334124623459,TRUE,TRUE
"466",466,"AT1G07820",0.738452808064377,TRUE,TRUE
"2514",2514,"AT1G51060",0.738466616920152,TRUE,TRUE
"14043",14043,"AT5G21940",0.738563157588097,TRUE,TRUE
"7013",7013,"AT3G02700",0.738638068249962,TRUE,TRUE
"4482",4482,"AT2G03730",0.73872964553509,TRUE,TRUE
"14148",14148,"AT5G23450",0.738769469146013,TRUE,TRUE
"8967",8967,"AT3G45010",0.738862773315415,TRUE,TRUE
"2499",2499,"AT1G50690",0.738938549713409,TRUE,TRUE
"14229",14229,"AT5G24655",0.738939422538452,TRUE,TRUE
"3066",3066,"AT1G61990",0.738943844436097,TRUE,TRUE
"6077",6077,"AT2G36885",0.738952629402857,TRUE,TRUE
"3206",3206,"AT1G64490",0.738953202308258,TRUE,TRUE
"10519",10519,"AT4G06477",0.738953778488198,TRUE,TRUE
"13130",13130,"AT5G07710",0.738959542736242,TRUE,TRUE
"7544",7544,"AT3G10370",0.739002930229878,TRUE,TRUE
