"","X","id","p_value","significant","significant_fdr"
"6245",6245,"AT2G39380",1.48393170425457e-62,TRUE,FALSE
"1935",1935,"AT1G30755",1.75300650144784e-62,TRUE,FALSE
"6383",6383,"AT2G41100",1.94179763925826e-62,TRUE,FALSE
"1621",1621,"AT1G25390",7.08732270419015e-62,TRUE,FALSE
"11845",11845,"AT4G28660",8.21113404726679e-62,TRUE,FALSE
"7749",7749,"AT3G13310",1.02490572263898e-61,TRUE,FALSE
"11235",11235,"AT4G19170",2.84691032916901e-61,TRUE,FALSE
"15844",15844,"AT5G58350",3.56723718528603e-61,TRUE,FALSE
"14487",14487,"AT5G35735",8.47667925274198e-61,TRUE,FALSE
"482",482,"AT1G08050",1.5256267425965e-60,TRUE,FALSE
"2208",2208,"AT1G40104",1.71918691486058e-60,TRUE,FALSE
"8234",8234,"AT3G19930",2.16465355231683e-60,TRUE,FALSE
"5611",5611,"AT2G30140",2.8800608113298e-60,TRUE,FALSE
"14819",14819,"AT5G42830",3.18547060102432e-60,TRUE,FALSE
"11942",11942,"AT4G30190",1.13205113325938e-59,TRUE,FALSE
"4718",4718,"AT2G15080",2.89313278354151e-59,TRUE,FALSE
"5370",5370,"AT2G26440",4.08604597133076e-59,TRUE,FALSE
"1532",1532,"AT1G23310",1.52597677179703e-58,TRUE,FALSE
"6231",6231,"AT2G39200",1.74330497881267e-58,TRUE,FALSE
"9403",9403,"AT3G52450",1.76027424365754e-57,TRUE,FALSE
"14542",14542,"AT5G37600",2.76659494571188e-57,TRUE,FALSE
"16281",16281,"AT5G64750",6.52180643461216e-57,TRUE,FALSE
"895",895,"AT1G14010",7.43952366863358e-57,TRUE,FALSE
"1334",1334,"AT1G20510",2.66632394403031e-56,TRUE,FALSE
"12977",12977,"AT5G05600",1.00778725801017e-55,TRUE,FALSE
"6663",6663,"AT2G45180",4.88657415768889e-55,TRUE,FALSE
"6526",6526,"AT2G43160",6.54475352456945e-55,TRUE,FALSE
"1793",1793,"AT1G28380",7.0028486726138e-55,TRUE,FALSE
"5635",5635,"AT2G30490",7.10405391069024e-55,TRUE,FALSE
"11600",11600,"AT4G25030",8.48122952127904e-55,TRUE,FALSE
"3891",3891,"AT1G74880",1.9501154504925e-54,TRUE,FALSE
"101",101,"AT1G02360",5.18420261792801e-54,TRUE,FALSE
"2194",2194,"AT1G36622",5.5587360679446e-54,TRUE,FALSE
"3289",3289,"AT1G65845",5.71157403576008e-54,TRUE,FALSE
"1608",1608,"AT1G25220",6.57920123700952e-54,TRUE,FALSE
"16056",16056,"AT5G61560",7.2677659160696e-54,TRUE,FALSE
"10140",10140,"AT3G63410",1.78838732696104e-53,TRUE,FALSE
"5167",5167,"AT2G22880",2.24782031861892e-53,TRUE,FALSE
"12478",12478,"AT4G37530",2.68520750602201e-53,TRUE,FALSE
"5898",5898,"AT2G34430",3.41096435946474e-53,TRUE,FALSE
"11726",11726,"AT4G26970",5.97618237685796e-53,TRUE,FALSE
"8456",8456,"AT3G23550",1.02796884885279e-52,TRUE,FALSE
"5655",5655,"AT2G30750",1.99995294673674e-52,TRUE,FALSE
"1853",1853,"AT1G29660",2.37277292044694e-52,TRUE,FALSE
"15949",15949,"AT5G59820",7.87841098459255e-52,TRUE,FALSE
"13878",13878,"AT5G19230",1.30180442947825e-51,TRUE,FALSE
"2831",2831,"AT1G56140",1.45220692955663e-51,TRUE,FALSE
"14329",14329,"AT5G26920",2.36357191294749e-51,TRUE,FALSE
"6471",6471,"AT2G42360",2.98021095171082e-51,TRUE,FALSE
"14930",14930,"AT5G44390",6.06989148933652e-51,TRUE,FALSE
"10283",10283,"AT4G01850",9.55497198232509e-51,TRUE,FALSE
"8098",8098,"AT3G18050",9.80177677929653e-51,TRUE,FALSE
"14506",14506,"AT5G36220",2.74350332829588e-50,TRUE,FALSE
"3263",3263,"AT1G65390",5.18255937300394e-50,TRUE,FALSE
"4351",4351,"AT2G01450",1.78219561723717e-49,TRUE,FALSE
"4582",4582,"AT2G06520",2.64858119593561e-49,TRUE,FALSE
"3019",3019,"AT1G61250",4.18978648928826e-49,TRUE,FALSE
"8959",8959,"AT3G45060",4.76777146593597e-49,TRUE,FALSE
"7262",7262,"AT3G06350",5.91851375839449e-49,TRUE,FALSE
"8986",8986,"AT3G45780",6.33565930449692e-49,TRUE,FALSE
"12588",12588,"AT4G39040",7.38116518066547e-49,TRUE,FALSE
"6845",6845,"AT2G47730",1.52869000199034e-48,TRUE,FALSE
"3661",3661,"AT1G71697",1.40512175350418e-47,TRUE,FALSE
